gate,fold,signal_date,actual_date,wyckoff_phase,hypothesis,candidate,rebalance_every,gross_return,turnover,cost_return,net_return,n_positions,gross_exposure,is_rebalance_day,policy_changed
train_phase_best,2,2020-12-09,2020-12-10,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.006955888020456764,0.0,0.0,0.006955888020456764,23,0.9999999999999999,False,False
train_phase_best,2,2020-12-10,2020-12-11,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.012623550217157532,1.5894736842105275,0.002384210526315791,0.010239339690841742,23,0.9999999999999998,True,False
train_phase_best,3,2020-12-11,2020-12-14,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.004136764706345275,1.0,0.0015,0.002636764706345275,8,1.0,True,True
train_phase_best,3,2020-12-14,2020-12-15,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.003978378997999238,0.0,0.0,0.003978378997999238,8,1.0,False,False
train_phase_best,3,2020-12-15,2020-12-16,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.00944340432761235,0.0,0.0,0.00944340432761235,8,1.0,False,False
train_phase_best,3,2020-12-16,2020-12-17,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.01930990384425969,0.0,0.0,0.01930990384425969,8,1.0,False,False
train_phase_best,3,2020-12-17,2020-12-18,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.022346883430145657,0.0,0.0,0.022346883430145657,8,1.0,False,False
train_phase_best,3,2020-12-18,2020-12-21,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.013486061186995345,0.0,0.0,0.013486061186995345,8,1.0,False,False
train_phase_best,3,2020-12-21,2020-12-22,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,-0.013389040017500539,0.0,0.0,-0.013389040017500539,8,1.0,False,False
train_phase_best,3,2020-12-22,2020-12-23,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,-0.0024278401979245367,0.0,0.0,-0.0024278401979245367,8,1.0,False,False
train_phase_best,3,2020-12-23,2020-12-24,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.01711095892824234,0.0,0.0,0.01711095892824234,8,1.0,False,False
