model,threshold,holding_period,trade_count,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return,final_equity,sampled_buy_hold_equity
lstm_signmag,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_best_by_val,0.0,1,2386,0.9048160788775124,0.5603520536462699,0.0012371603113579214,0.0012371603113579214,2.9518645029000004,11.455646530704238,11.455646530704238
lstm_signmag_best_by_val,0.0025,1,321,0.1217292377701934,0.5451713395638629,0.003951675080062305,0.003951675080062305,1.2684877006999997,3.111462025075093,3.111462025075093
lstm_signmag_best_by_val,0.005,1,67,0.02540766021994691,0.7313432835820896,0.020799521714925374,0.020799521714925374,1.3935679549,3.8301652359443907,3.8301652359443907
lstm_signmag_best_by_val,0.01,1,3,0.0011376564277588168,1.0,0.06882467800000001,0.06882467800000001,0.20647403400000003,1.2210101490229182,1.2210101490229182
lstm_signmag_best_by_val,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_best_by_val,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_ensemble,0.0,1,2460,0.9328782707622298,0.5573170731707318,0.0010833360894308942,0.0010833360894308942,2.6650067799999997,8.461554496804768,8.461554496804768
lstm_signmag_ensemble,0.0025,1,236,0.08949563898369359,0.5677966101694916,0.005563194865254238,0.005563194865254238,1.3129139882,3.335925716086969,3.335925716086969
lstm_signmag_ensemble,0.005,1,24,0.009101251422070534,0.875,0.032290051979166665,0.032290051979166665,0.7749612475,2.124560928985746,2.124560928985746
lstm_signmag_ensemble,0.01,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_ensemble,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_ensemble,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_42,0.0,1,2386,0.9048160788775124,0.5603520536462699,0.0012371603113579214,0.0012371603113579214,2.9518645029000004,11.455646530704238,11.455646530704238
lstm_signmag_seed_42,0.0025,1,321,0.1217292377701934,0.5451713395638629,0.003951675080062305,0.003951675080062305,1.2684877006999997,3.111462025075093,3.111462025075093
lstm_signmag_seed_42,0.005,1,67,0.02540766021994691,0.7313432835820896,0.020799521714925374,0.020799521714925374,1.3935679549,3.8301652359443907,3.8301652359443907
lstm_signmag_seed_42,0.01,1,3,0.0011376564277588168,1.0,0.06882467800000001,0.06882467800000001,0.20647403400000003,1.2210101490229182,1.2210101490229182
lstm_signmag_seed_42,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_42,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_seed_52,0.0,1,2529,0.9590443686006825,0.5547647291419533,0.0010203248838671411,0.0010203248838671411,2.5804016313,7.565221924863611,7.565221924863611
lstm_signmag_seed_52,0.0025,1,166,0.06295032233598787,0.572289156626506,0.007036883595180724,0.007036883595180724,1.1681226768000001,2.9763612043326395,2.9763612043326395
lstm_signmag_seed_52,0.005,1,4,0.0015168752370117557,1.0,0.032350447975,0.032350447975,0.1294017919,1.1345376778413894,1.1345376778413894
