stock,company_name,sector,industry,sub_industry,com_type_code,combo_rank_in_stock,combo,feature,test_rel_score,val_rel_score
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,9,"close_position,rolling_max_20_gap",close_position,0.0401564435844411,-0.065022763911952
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,9,"close_position,rolling_max_20_gap",rolling_max_20_gap,0.0401564435844411,-0.065022763911952
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,10,"close_position,obv_change",close_position,0.0398003202757639,-0.0390092310675505
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,10,"close_position,obv_change",obv_change,0.0398003202757639,-0.0390092310675505
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,1,"lower_shadow,vwap_gap",lower_shadow,0.0304400871272199,-0.0245785238691211
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,1,"lower_shadow,vwap_gap",vwap_gap,0.0304400871272199,-0.0245785238691211
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2,"volume_change,lower_shadow",volume_change,0.0289193476196709,-0.0216417215346866
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2,"volume_change,lower_shadow",lower_shadow,0.0289193476196709,-0.0216417215346866
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,3,"lower_shadow,momentum_20",lower_shadow,0.0274451642285269,-0.010925917498574
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,3,"lower_shadow,momentum_20",momentum_20,0.0274451642285269,-0.010925917498574
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,4,"momentum_20,volatility_20",momentum_20,0.0268942550892602,-0.0068512038821253
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,4,"momentum_20,volatility_20",volatility_20,0.0268942550892602,-0.0068512038821253
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,5,"lower_shadow,volatility_ratio",lower_shadow,0.0268118944132633,-0.0215621964876433
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,5,"lower_shadow,volatility_ratio",volatility_ratio,0.0268118944132633,-0.0215621964876433
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,6,lower_shadow,lower_shadow,0.025838344049303,-0.0245785345097169
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,7,"lower_shadow,obv_change",lower_shadow,0.0250488926505244,-0.0249057451760819
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,7,"lower_shadow,obv_change",obv_change,0.0250488926505244,-0.0249057451760819
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,8,"volatility_20,volatility_ratio",volatility_20,0.0210494486954655,-0.0020137808655595
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,8,"volatility_20,volatility_ratio",volatility_ratio,0.0210494486954655,-0.0020137808655595
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,9,"overnight_return,lower_shadow",overnight_return,0.0210022503317963,-0.0405162694966361
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,9,"overnight_return,lower_shadow",lower_shadow,0.0210022503317963,-0.0405162694966361
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,10,"gap_open,lower_shadow",gap_open,0.0210022503317963,-0.0405162694966361
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,10,"gap_open,lower_shadow",lower_shadow,0.0210022503317963,-0.0405162694966361
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,1,"volume_ma_20,vwap_gap",volume_ma_20,0.0624781188948624,-0.0182558053983528
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,1,"volume_ma_20,vwap_gap",vwap_gap,0.0624781188948624,-0.0182558053983528
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,2,"close_position,upper_shadow",close_position,0.0548283973130995,-0.0808406407620505
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,2,"close_position,upper_shadow",upper_shadow,0.0548283973130995,-0.0808406407620505
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,3,"volume_ma_20,upper_shadow",volume_ma_20,0.0500018824706972,-0.0914475996319306
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,3,"volume_ma_20,upper_shadow",upper_shadow,0.0500018824706972,-0.0914475996319306
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,4,"upper_shadow,momentum_20",upper_shadow,0.0478487794893971,-0.0530057213486367
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,4,"upper_shadow,momentum_20",momentum_20,0.0478487794893971,-0.0530057213486367
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,5,"intraday_return,upper_shadow",intraday_return,0.0469964745725036,-0.051205933747958
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,5,"intraday_return,upper_shadow",upper_shadow,0.0469964745725036,-0.051205933747958
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,6,"body_pct,upper_shadow",body_pct,0.0469964745725036,-0.051205933747958
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,6,"body_pct,upper_shadow",upper_shadow,0.0469964745725036,-0.051205933747958
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,7,"intraday_return,close_position",intraday_return,0.0462681703455875,-0.0322238237417309
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,7,"intraday_return,close_position",close_position,0.0462681703455875,-0.0322238237417309
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8,"body_pct,close_position",body_pct,0.0462681703455875,-0.0322238237417309
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8,"body_pct,close_position",close_position,0.0462681703455875,-0.0322238237417309
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,9,"intraday_return,high_close_gap",intraday_return,0.045732350991603,-0.0864917427694262
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,9,"intraday_return,high_close_gap",high_close_gap,0.045732350991603,-0.0864917427694262
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,10,"body_pct,high_close_gap",body_pct,0.045732350991603,-0.0864917427694262
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,10,"body_pct,high_close_gap",high_close_gap,0.045732350991603,-0.0864917427694262
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,1,"volatility_10,volatility_20",volatility_10,0.0592889353305196,-0.0402769471754587
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,1,"volatility_10,volatility_20",volatility_20,0.0592889353305196,-0.0402769471754587
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,2,"upper_shadow,lower_shadow",upper_shadow,0.0485970509506668,-0.0012528880315052
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,2,"upper_shadow,lower_shadow",lower_shadow,0.0485970509506668,-0.0012528880315052
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,3,"upper_shadow,volatility_20",upper_shadow,0.048006420597778,0.0056905828998562
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,3,"upper_shadow,volatility_20",volatility_20,0.048006420597778,0.0056905828998562
