score,policy,seeds,obs_coverage_mean,day_coverage_mean,rel_score_mean,q90_abs_error_mean,daily_q90_median_mean,daily_q90_p90_mean,daily_q90_max_mean,days_ge_3p5_mean,days_ge_5_mean,days_ge_7_mean,days_ge_8_mean
risk_hgb,coverage_q70,3,0.45469228903442044,1.0,0.005582299097660688,0.030802477024000005,0.026514701215333336,0.04234115628260002,0.07273325310666667,118.66666666666667,29.666666666666668,2.6666666666666665,0.0
risk_hgb,coverage_q80,3,0.6207856497100395,1.0,0.003483184393285469,0.034381389511999996,0.02920686726,0.04811378881586668,0.07458087458,183.33333333333334,52.666666666666664,6.0,0.0
risk_hgb,coverage_q90,3,0.8193755374743666,1.0,0.005594640827284965,0.039727667126,0.03288507534000001,0.05665416143346667,0.0890370982,272.3333333333333,102.66666666666667,12.0,1.6666666666666667
risk_hybrid,abstain_zero_calibrated_p90_3p5,3,0.7345262507993208,1.0,0.00290688977423507,0.050154835813333354,0.03722365561980002,0.06808673656000001,0.07498476034000001,362.6666666666667,172.0,5.333333333333333,0.0
risk_hybrid,abstain_zero_q100,3,0.9999944874423937,1.0,0.024767544102766898,0.048572927619666674,0.03690483848566667,0.06393347929053333,0.09442062846666667,363.3333333333333,166.66666666666666,29.0,7.666666666666667
risk_hybrid,abstain_zero_q30,3,0.29554475094264737,1.0,0.0006053237243997348,0.050250711779333344,0.037378476296666664,0.068297881,0.06995335069999999,359.6666666666667,170.66666666666666,0.3333333333333333,0.0
risk_hybrid,abstain_zero_q40,3,0.3876099755242442,1.0,0.000837889849560236,0.050241806226666665,0.03729633724000001,0.06826595523066668,0.07035491215,360.3333333333333,170.33333333333334,0.3333333333333333,0.0
risk_hybrid,abstain_zero_q50,3,0.4849231549469692,1.0,0.000804309876613063,0.0502553566666667,0.03725923972066668,0.06821005193333333,0.07068698801666667,359.0,172.0,0.6666666666666666,0.0
risk_hybrid,abstain_zero_q60,3,0.5897113624837379,1.0,0.0014158158547910398,0.05024494324600001,0.03731593237333334,0.06817216186666668,0.07255066094,360.0,171.0,2.6666666666666665,0.0
risk_hybrid,abstain_zero_q70,3,0.6970904720954335,1.0,0.002589383418734862,0.05017519428333334,0.03727423039980001,0.06813991648,0.07355329212666667,362.6666666666667,171.66666666666666,4.0,0.0
risk_hybrid,abstain_zero_q80,3,0.8060186103944785,1.0,0.003535034714708618,0.050146018663333326,0.03710184304066667,0.06784443666933333,0.07858364844666667,362.0,170.66666666666666,6.0,0.3333333333333333
risk_hybrid,abstain_zero_q90,3,0.9129236400520385,1.0,0.007250178629581772,0.04986439689,0.03690814078666666,0.06683484909866667,0.08393047893333334,361.6666666666667,169.66666666666666,12.666666666666666,1.3333333333333333
risk_hybrid,calibrated_p90_3p5,3,0.7345262507993208,1.0,0.004944220520525122,0.03679148462000001,0.03140868672106667,0.05159198069866666,0.07657391285333333,226.0,71.66666666666667,6.666666666666667,0.0
risk_hybrid,coverage_q100,3,0.9999944874423937,1.0,0.02476043758730469,0.048572624522666676,0.03690483848566667,0.06393347929053333,0.09442062846666667,363.3333333333333,166.66666666666666,29.0,7.666666666666667
risk_hybrid,coverage_q30,3,0.29554475094264737,0.9686393525543754,0.007083856997154081,0.027518448817333337,0.023866188668333333,0.037709453097966666,0.06842883727666667,54.666666666666664,10.666666666666666,0.3333333333333333,0.0
risk_hybrid,coverage_q40,3,0.3876099755242442,0.9898836621143147,0.003968806959181781,0.029285622452,0.02539320973666667,0.040691479700200005,0.07019911251000001,85.66666666666667,18.333333333333332,0.3333333333333333,0.0
