seed,score,policy,label,year,n_obs,obs_coverage,n_days,day_coverage,daily_q90_median,daily_q90_p90,daily_q90_max,days_ge_3p5,days_ge_5,days_ge_8
52,none,full_coverage,full_coverage,2022,19964,1.0,216,1.0,0.04279923145500002,0.07118435242499996,0.0962374504,146,84,11
52,risk_logistic,coverage_q40,risk_logistic_coverage_q40,2020,3809,0.21713601641774027,81,0.41968911917098445,0.0202001409,0.031686380998,0.05810200170000002,6,1,0
52,risk_logistic,coverage_q40,risk_logistic_coverage_q40,2021,3911,0.1703248845919345,80,0.32,0.020060583381000002,0.0327265914507,0.05506738592799993,6,1,0
52,risk_logistic,coverage_q40,risk_logistic_coverage_q40,2022,2416,0.121017832097776,48,0.2222222222222222,0.02078654012499998,0.034824807084000015,0.05361967724460001,5,2,0
52,risk_hgb,coverage_q40,risk_hgb_coverage_q40,2020,3991,0.2275111161783149,83,0.43005181347150256,0.020101038000000005,0.033073622748800005,0.058999488600000004,6,1,0
52,risk_hgb,coverage_q40,risk_hgb_coverage_q40,2021,3824,0.16653601602647852,83,0.332,0.02049218672000001,0.03536415149400002,0.0626910953400001,9,1,0
52,risk_hgb,coverage_q40,risk_hgb_coverage_q40,2022,2531,0.12677820076137047,43,0.19907407407407407,0.023120256020000004,0.0334117489144,0.054024101822400014,4,2,0
52,risk_input_noise,coverage_q30,risk_input_noise_coverage_q30,2020,2873,0.16377836050621367,60,0.31088082901554404,0.01853303982499996,0.02932888584079999,0.0567848613,5,1,0
52,risk_input_noise,coverage_q30,risk_input_noise_coverage_q30,2021,3041,0.1324361989373748,44,0.176,0.020220862933500006,0.03587561737600001,0.04212113915,5,0,0
52,risk_input_noise,coverage_q30,risk_input_noise_coverage_q30,2022,1878,0.0940693247846123,19,0.08796296296296297,0.022070990401,0.031251357812240005,0.046038013107,1,0,0
52,risk_input_noise,calibrated_p90_3p5,risk_input_noise_calibrated_p90_3p5,2020,4889,0.27870254246950177,111,0.5751295336787565,0.021620758109999912,0.03492630238299999,0.059298650900000006,11,2,0
52,risk_input_noise,calibrated_p90_3p5,risk_input_noise_calibrated_p90_3p5,2021,5475,0.2384374183433499,138,0.552,0.022227113545000003,0.03826424004019994,0.053723678932,24,2,0
52,risk_input_noise,calibrated_p90_3p5,risk_input_noise_calibrated_p90_3p5,2022,3445,0.17256060909637347,70,0.32407407407407407,0.02358555992999996,0.035922356298,0.059986232460000004,9,2,0
71,none,full_coverage,full_coverage,2020,17542,1.0,193,1.0,0.03208502113700001,0.053343349539999994,0.07370191000000001,74,33,0
71,none,full_coverage,full_coverage,2021,22962,1.0,250,1.0,0.036644349519999966,0.059724324641000005,0.0873736962,137,48,1
71,none,full_coverage,full_coverage,2022,19964,1.0,216,1.0,0.04292290985799999,0.06975104236,0.09279294390000001,146,86,2
71,risk_logistic,coverage_q40,risk_logistic_coverage_q40,2020,4208,0.23988142743130772,86,0.44559585492227977,0.020407853181500006,0.03266445434600001,0.0544236244,7,1,0
71,risk_logistic,coverage_q40,risk_logistic_coverage_q40,2021,3886,0.16923612925703335,85,0.34,0.020892811159999997,0.03381550004960001,0.045233283450000016,8,0,0
71,risk_logistic,coverage_q40,risk_logistic_coverage_q40,2022,2268,0.11360448807854137,50,0.23148148148148148,0.02238965942100001,0.03446452506960001,0.0556364754849999,5,2,0
71,risk_hgb,coverage_q40,risk_hgb_coverage_q40,2020,4352,0.24809029757154258,82,0.42487046632124353,0.020701275209999967,0.03280798871150001,0.054409242260000004,7,1,0
71,risk_hgb,coverage_q40,risk_hgb_coverage_q40,2021,3818,0.16627471474610225,77,0.308,0.02043257388999997,0.032779643912,0.04313821845999999,4,0,0
71,risk_hgb,coverage_q40,risk_hgb_coverage_q40,2022,2611,0.13078541374474054,42,0.19444444444444445,0.02236052304999998,0.0357733579519,0.050635806200000015,6,1,0
71,risk_input_noise,coverage_q30,risk_input_noise_coverage_q30,2020,3291,0.18760688632995098,69,0.35751295336787564,0.01977079925,0.03493248698399998,0.052947480523999994,7,1,0
71,risk_input_noise,coverage_q30,risk_input_noise_coverage_q30,2021,3188,0.1388380803065935,54,0.216,0.020164039339999988,0.03394740723199999,0.041633654609999994,4,0,0
71,risk_input_noise,coverage_q30,risk_input_noise_coverage_q30,2022,1993,0.09982969344820677,25,0.11574074074074074,0.021289784896000002,0.032817962216,0.04675849476994994,2,0,0
71,risk_input_noise,calibrated_p90_3p5,risk_input_noise_calibrated_p90_3p5,2020,4666,0.26599019496066584,111,0.5751295336787565,0.021797794362,0.03489217145,0.0681501806,11,3,0
71,risk_input_noise,calibrated_p90_3p5,risk_input_noise_calibrated_p90_3p5,2021,4781,0.2082135702464942,106,0.424,0.022020530529999964,0.037789285741,0.05290774872999999,13,1,0
71,risk_input_noise,calibrated_p90_3p5,risk_input_noise_calibrated_p90_3p5,2022,2967,0.14861751152073732,58,0.26851851851851855,0.022051722386,0.031842547289,0.05002486005000001,4,1,0
