code,stock_days,first_date,latest_date,hard_issue_rows,imputed_rows,close_violation_7pct_rows,close_violation_10pct_rows,close_violation_15pct_rows,adjust_jump_155pct_rows,adjust_jump_20pct_rows,coverage_pct,days_since_latest,is_recently_active,quality_score,quality_band
VIB,1543,2020-01-02,2026-03-23,1,0,4,3,0,0,0,0.9954838709677419,0,True,83.7741935483871,good
BSI,1544,2020-01-02,2026-03-23,0,0,15,1,0,0,0,0.9961290322580645,0,True,77.30645161290323,usable
VND,1544,2020-01-02,2026-03-23,0,0,12,1,0,2,2,0.9961290322580645,0,True,76.80645161290323,usable
LPB,1540,2020-01-02,2026-03-23,1,0,12,4,1,1,0,0.9935483870967742,0,True,69.1774193548387,usable
CTR,1544,2020-01-02,2026-03-23,1,0,14,7,1,1,0,0.9961290322580645,0,True,66.30645161290323,usable
DSE,430,2024-07-01,2026-03-23,0,0,0,0,0,0,0,0.27741935483870966,0,True,63.87096774193548,usable
NAB,1352,2020-10-09,2026-03-23,0,0,17,3,0,2,1,0.8722580645161291,0,True,63.112903225806456,usable
BCM,1543,2020-01-02,2026-03-23,2,0,12,7,0,0,0,0.9954838709677419,0,True,61.774193548387096,usable
EVF,1542,2020-01-02,2026-03-23,2,0,16,7,0,0,0,0.9948387096774194,0,True,55.74193548387097,review
VIX,1543,2020-01-02,2026-03-23,0,0,31,3,0,2,1,0.9954838709677419,0,True,48.274193548387096,review
VTP,1542,2020-01-02,2026-03-23,3,0,14,7,3,3,0,0.9948387096774194,0,True,41.24193548387097,review
SHB,1547,2020-01-02,2026-03-23,0,0,40,1,0,0,0,0.9980645161290322,0,True,39.903225806451616,review
SIP,1545,2020-01-02,2026-03-23,3,0,34,15,1,1,0,0.9967741935483871,0,True,16.338709677419356,review
GEE,973,2022-03-08,2026-03-23,0,0,43,22,4,2,1,0.6277419354838709,0,True,11.887096774193544,review
HHV,1541,2020-01-02,2026-03-23,6,0,70,57,1,1,0,0.9941935483870967,0,True,0.0,review
