Date,long_count,short_count,long_mean_prediction,short_mean_prediction,long_return,short_return,long_short_return,equity
2016-10-05,16,16,0.0038107361,-0.0026255479312499996,-0.0016375661062500004,0.0063390690375,-0.00797663514375,1165.9296206349945
2016-10-06,15,15,0.0034508007599999995,-0.0026998158133333333,0.0010471686399999994,-0.013778408533333333,0.014825577173333333,1183.215200204394
2016-10-07,15,15,0.0006954155144466667,-0.005713928786666668,-0.010988576293333333,-0.00879956806,-0.002189008233333333,1180.6251323893414
2016-10-10,15,15,0.003144394593333334,-0.003754094826666667,0.011382792973333333,0.006190610406666667,0.005192182566666666,1186.755153619502
2016-10-11,15,15,0.003582883713333333,-0.0026694067666666664,0.006053142193333333,0.0030926350266666665,0.0029605071666666664,1190.268550756871
2016-10-12,15,15,0.002994029693333333,-0.0036761045533333326,0.008773019100000001,-0.0017808985933333331,0.010553917693333335,1202.8305470745222
2016-10-13,15,15,0.003728520486666667,-0.0026385025066666666,0.0010908707266666662,-0.00024732990000000005,0.0013382006266666662,1204.440175666391
2016-10-14,15,15,0.0032931717373333334,-0.004054053419999999,-0.0035148418533333336,-0.008540683926666669,0.005025842073333335,1210.4935017760681
2016-10-17,15,15,0.0038736204466666663,-0.002099694366666667,0.00018061215999999966,0.004775509220000001,-0.004594897060000001,1204.931408743608
2016-10-18,15,15,0.004823859246666668,-0.0012588528888666667,0.00629312184,0.013016548053333335,-0.006723426213333336,1196.8301413247925
2016-10-19,15,15,0.00290050088,-0.0021018022146666667,-0.00014555197333333315,-0.002582556946666667,0.002437004973333334,1199.7468223314363
2016-10-20,15,15,0.0040293208000000014,-0.00243781674,-0.002807740506666666,-0.0095886778,0.006780937293333334,1207.8822303015418
2016-10-21,16,16,0.001187916048125,-0.00649902288125,-0.006393313081249999,-0.01430510040625,0.007911787325,1217.4387376213344
2016-10-24,16,16,0.0033592063125,-0.00422621176875,-0.0005807231312500002,-0.01236123571875,0.0117805125875,1231.7807899943925
2016-10-25,16,16,0.0041730552125,-0.0026214458787500003,0.0039728559812500005,-0.00302929386875,0.00700214985,1240.4059036682845
2016-10-26,15,15,0.001853544012666667,-0.005174147446666667,0.005304218066666668,-0.0010482552733333333,0.006352473340000001,1248.285549102116
2016-10-27,15,15,0.004022204213333333,-0.00341084446,0.009744133019999998,0.0010087494466666667,0.008735383573333332,1259.1898021825718
2016-10-28,15,15,0.0029761751193333333,-0.003925991013333333,-0.002497599373333333,-0.002317203826666667,-0.00018039554666666622,1258.96264994985
2016-10-31,15,15,0.004375286786666667,-0.0031595940800000005,-0.0030708538466666666,-0.0072677395733333336,0.004196885726666667,1264.246372325831
2016-11-01,15,15,0.0045846569733333335,-0.002800369809333333,-0.008003987346666665,-0.022327004333333334,0.01432301698666667,1282.3541945919856
2016-11-02,15,15,0.00257094094,-0.003589374613333333,-0.0022252222533333337,-0.004270272526666666,0.0020450502733333326,1284.976673388146
2016-11-03,15,15,0.002324290412,-0.00504923018,0.001557445406666666,-0.005296625213333335,0.00685407062,1293.7839942526011
2016-11-04,15,15,0.00025286030533333326,-0.0062069343866666665,0.0158940338,0.006420602946666667,0.009473430853333333,1306.0405674613025
2016-11-07,15,15,0.003582315053333333,-0.0026952312733333336,0.004749996899999999,-0.008690392433333333,0.013440389333333332,1323.59426117311
2016-11-08,15,15,0.00515998252,-0.00033368647533333327,-0.007353102266666669,-0.016005927566666668,0.0086528253,1335.0470910831234
2016-11-09,15,15,0.0019311894013333331,-0.005977195653333334,0.007894336566666667,0.012531723933333334,-0.004637387366666667,1328.8559605690295
2016-11-10,15,15,0.0066713304,-0.0014028152910666666,0.0019163624799999992,-0.006282800800000001,0.00819916328,1339.7514675653363
2016-11-11,15,15,0.0008441141435333333,-0.005641295926666666,-0.0010818212600000002,-0.0082864002,0.00720457894,1349.4038127733916
2016-11-14,15,15,0.00460768834,-0.003021287986666667,0.0037731656333333343,-0.0036591478733333325,0.007432313506666666,1359.4330049570149
2016-11-15,15,15,0.004589415393333333,-0.0017625333473333333,0.01947015880666667,0.0019402573133333327,0.017529901493333336,1383.2637316206976
2016-11-16,16,16,0.0046635638125,-0.00297428805,0.0002893175312500001,-0.00647642961875,0.00676574715,1392.6225442706088
2016-11-17,15,15,0.003004242826666666,-0.0029791851666666667,-0.0033343156599999996,0.0007534976666666665,-0.004087813326666666,1386.9297632751232
2016-11-18,15,15,-0.00013901505400000017,-0.00524537838,0.006036593913333332,-0.004613484913333333,0.010650078826666666,1401.7006745810531
2016-11-21,16,16,0.00212875220625,-0.0033520879562500003,0.0024747648124999995,0.006101675026875,-0.003626910214375,1396.6168320869187
2016-11-22,15,15,0.005568360686666666,-0.0007064203846666668,0.00489926692,0.005153060720000001,-0.0002537938000000007,1396.2623793939595
2016-11-23,15,15,0.004140427706666667,-0.0027549255866666667,-0.0008244283866666666,-0.0036356401600000014,0.002811211773333335,1400.1875686335743
2016-11-24,15,15,0.005091500806666666,-0.0033272526513333333,-0.005119271353333333,-0.010223509066666666,0.005104237713333333,1407.334458827134
2016-11-25,15,15,-0.0007117064199999997,-0.0062065577666666665,-0.008423564873333334,-0.014067752079999999,0.005644187206666665,1415.2777179751472
2016-11-28,15,15,0.0017381295679999998,-0.005022665506666666,-0.0030538300399999994,-0.006439074613333334,0.0033852445733333347,1420.0687791896821
2016-11-29,15,15,0.004739075420000001,-0.0014785330353333335,0.007720991326666667,0.003552541146666667,0.00416845018,1425.9882651479077
2016-11-30,15,15,0.004660749719999999,-0.0026743817959999994,0.0019203292866666667,-0.0032532658333333333,0.00517359512,1433.3657510776543
2016-12-01,15,15,0.004974537519999999,-0.0010577882473333338,-0.003299040706666666,-0.0038140416086666668,0.0005150009020000006,1434.1039357323552
2016-12-02,15,15,0.0011401205593333334,-0.0053082014666666665,0.000870499846666667,-0.008900960593333333,0.009771460440000001,1448.1172256072125
2016-12-05,15,15,0.0010548527853333335,-0.005408828606666667,-0.012104770726666663,-0.00847023208,-0.0036345386466666626,1442.8539875858394
2016-12-06,15,15,0.0045009102466666675,-0.0033629765599999997,0.00125744358,-0.0010020517933333332,0.0022594953733333333,1446.114109495185
2016-12-07,15,15,0.00382784884,-0.00414554422,0.012157970099999998,1.3904526666666527e-05,0.012144065573333331,1463.6758140674171
2016-12-08,15,15,0.005551699206666667,-0.0026229326193333334,-0.0011171379266666666,-0.0065287257799999995,0.005411587853333333,1471.5966243240423
2016-12-09,15,15,0.0009195551175733334,-0.00531623058,-0.015189617173333331,-0.013542871826666667,-0.001646745346666664,1469.1732794307663
2016-12-12,15,15,0.0036095882373333335,-0.00340050128,0.0011302268666666675,-0.02002080845333333,0.021151035319999997,1500.2478153552067
2016-12-13,15,15,0.003984769513333333,-0.00277175702,0.01124527776,0.011277783399999998,-3.2505639999997823e-05,1500.19904883981
2016-12-14,15,15,0.004710097533333333,-0.0031104245399999992,-0.0028894757999999997,0.003075949633333333,-0.005965425433333333,1491.2497232787987
2016-12-15,15,15,0.0057099667333333345,-0.0023340473800000003,0.011737538806666666,-0.001321390226666667,0.013058929033333333,1510.7238475860745
2016-12-16,15,15,0.004644962286666666,-0.003727749366666666,0.009509025333333334,0.00137760664,0.008131418693333333,1523.0081757208002
2016-12-19,14,14,0.004949429607142857,-0.0026289913999999995,0.005545525399999999,-0.009466340321428571,0.01501186572142857,1545.8713699473587
2016-12-20,15,15,0.004078444133333334,-0.0022649556926666666,0.004808723846666667,0.0006694736133333336,0.004139250233333334,1552.2701183761167
2016-12-21,15,15,0.0026439872999999997,-0.004415733786666667,-0.010236641026666665,-0.010900811653333333,0.0006641706266666686,1553.3010905933943
2016-12-22,15,15,0.0025326844806666665,-0.004814093166666667,-0.0030102319466666664,-0.011603666616666668,0.00859343467,1566.6492820382484
2016-12-23,15,15,0.0009267573173333335,-0.006045894313333335,0.01657399816,-0.0029618456866666665,0.019535843846666665,1597.25509777464
2016-12-26,15,15,0.0038881137266666673,-0.00470016528,0.008926341546666668,-0.0032122667399999997,0.012138608286666668,1616.6435517404077
2016-12-27,15,15,0.005712645586666666,-0.002203015202666667,0.006567308399999999,0.0005057093399999999,0.00606159906,1626.4429967739923
2016-12-28,15,15,0.00306257318,-0.003051549593333333,0.00590249178,0.011392184100000001,-0.005489692320000001,1617.5143251456843
2016-12-29,15,15,0.002177603706666667,-0.0036045315400000002,0.008143128573333333,0.0020368733999999995,0.0061062551733333335,1627.3912803615458
2016-12-30,16,16,0.003440351064375,-0.0045499796250000005,0.00796091900625,-0.0025654995999999995,0.01052641860625,1644.5218822147924
2017-01-03,15,15,0.0024203575200000002,-0.004540293013333334,0.00328978264,-8.173346666666692e-05,0.0033715161066666666,1650.0664142284454
2017-01-04,15,15,0.004277657539999999,-0.0019015852299999996,0.006464199546666665,-0.003164273073333333,0.009628472619999998,1665.9540335190256
2017-01-05,16,16,0.0044239133,-0.0035590846125000005,0.00033020747499999973,0.0019451999062499996,-0.00161499243125,1663.263530364082
2017-01-06,16,16,0.0045538755375,-0.00238911915375,0.01028941563125,-0.0010175153312500002,0.0113069309625,1682.0699362743528
2017-01-09,15,15,0.0042468673733333335,-0.0013576176215333332,0.0003089066733333335,-0.00433624396,0.0046451506333333335,1689.8834045041488
2017-01-10,15,15,0.005679584313333334,-0.0006948194956,0.01184114786,0.010500375853333334,0.001340772006666666,1692.1491528674385
2017-01-11,15,15,0.004182532733333333,-0.0011142551173333333,0.0036035464666666667,0.0015625893666666665,0.0020409571,1695.6027566952423
2017-01-12,15,15,0.0051677632400000005,-0.001963104606666667,0.01324288212,-0.007706691793333334,0.020949573913333335,1731.124911974281
2017-01-13,15,15,0.0019822391699999995,-0.005296776673333332,-0.006508083933333335,-0.018057984613333335,0.011549900679999999,1751.1192327722576
2017-01-16,15,15,0.0031438684866666664,-0.003936119886666667,0.011637385,-0.00165172392,0.01328910892,1774.390046988475
2017-01-17,15,15,0.007088147366666666,-0.0015238740162666665,0.015184939773333331,-0.01026215404,0.02544709381333333,1819.5431169756357
2017-01-18,15,15,0.005102548766666667,-0.00246905586,-0.015219617853333332,-0.0037537165733333338,-0.01146590128,1798.6804152216896
2017-01-19,14,14,0.004992277435714286,-0.0029260506285714283,0.00020292394999999998,0.007188995821428572,-0.006986071871428572,1786.11470456722
2017-01-20,15,15,0.0036161262253999998,-0.0043148007199999994,0.003355686306666667,-0.004770897059999999,0.008126583366666666,1800.6297146163147
2017-01-23,15,15,0.00376953498,-0.003441407119999999,0.012840429033333333,0.008393074553333331,0.004447354480000002,1808.6377532444349
2017-01-24,16,16,0.00561380485,-0.00016596890462500002,0.008951071343749999,0.0018590534,0.007092017943749999,1821.464644644188
2017-01-25,15,15,0.0035903621133333333,-0.003012341813333334,0.004377124366666666,0.005298105833333333,-0.0009209814666666667,1819.7871094642821
2017-02-02,15,15,0.0038789561199999998,-0.002259297062,0.004527905059999999,-0.006598484133333334,0.011126389193333332,1840.0347690931928
2017-02-03,15,15,0.0014142192626666666,-0.004289134573333333,0.004658907353333334,4.1905606666667646e-05,0.004617001746666667,1848.5302128360236
2017-02-06,15,15,0.002493089526666667,-0.00321589042,0.0076839759133333334,0.009226935502666667,-0.0015429595893333339,1845.6780054179558
2017-02-07,15,15,0.006888855786666666,-0.001159077537333333,0.010347288226666666,-0.001960935873333333,0.0123082241,1868.3950239250812
2017-02-08,15,15,0.0034224982400000003,-0.0029148035799999995,0.020675934398666666,-0.00573133234,0.026407266738666665,1917.734229695068
2017-02-09,16,16,0.0059718656125,-0.001551507575,0.011628551356249999,0.0008080428812500002,0.010820508474999999,1938.485089180281
2017-02-10,16,16,0.00331804321875,-0.0036708804812500004,0.0216652463125,0.003566727843749999,0.01809851846875,1973.568797368207
2017-02-13,16,16,0.0056765289875,-0.0008690303353749999,-0.004380901675,-0.0055466535375,0.0011657518624999998,1975.8694888695106
2017-02-14,15,15,0.004982621613333333,-0.001704500764,0.00516094884,0.008006349353333332,-0.002845400513333332,1970.2473488116016
2017-02-15,16,16,0.0041244472062499996,-0.00307372445625,0.007785123,-0.00587620503125,0.01366132803125,1997.1635441464177
2017-02-16,16,16,0.00824621239375,-0.0005769464243749999,0.0168748201375,0.0004501055124999996,0.016424714625,2029.9663854184764
2017-02-17,15,15,0.0025600167866666667,-0.004047480006666666,0.004888212073333333,0.00888340918,-0.003995197106666667,2021.856269588822
2017-02-20,16,16,0.00755099765625,-0.0005850263006249999,-0.0013069937812499994,0.00375543013125,-0.005062423912499999,2011.6207760620175
2017-02-21,16,16,0.0073929344375,0.000902366553125,-0.0026626511,-0.00223530034375,-0.00042735075624999964,2010.7611084020791
2017-02-22,16,16,0.00484397683125,-0.0026164687231250002,-0.001637175925,-0.0035942137625,0.0019570378375,2014.6962439733954
