code,feature_sector,top_error_appearances,mean_abs_error,median_abs_error,max_abs_error,mean_actual_return,mean_predicted_return,sign_mismatch_share,mean_feature_momentum_20,mean_feature_volatility_20,mean_feature_volume_ratio_20
CTG,Ngân hàng,5,0.05239366030145898,0.053502110880799605,0.06962812349956946,0.02483730390667912,0.00029489300504793045,0.6,0.06720717508135722,0.01912059398793026,1.1158772618443804
BVH,Bảo hiểm,5,0.05090199667029074,0.0502034897217526,0.0612658510799519,0.010952937602996819,-0.00039415843784808003,0.8,0.0881864160764581,0.01887325678161002,1.2951954284060545
KBC,Bất động sản,5,0.04680821726724391,0.0428220347966999,0.06726837000678641,0.030259636789560302,0.0005802334409963575,0.0,-0.014262906350894977,0.02259441841530902,1.1974515678904092
NLG,Bất động sản,5,0.04295851078059054,0.043289975496008895,0.057429061038419604,0.042402054741978626,-0.0005564560386119217,0.6,0.05808280786979876,0.015440316382512021,1.0880864218712074
HSG,Tài nguyên Cơ bản,4,0.058608266786905006,0.06082841346506031,0.0664192073745653,0.00827004201710225,0.0017574539815541001,0.5,-0.039602656590969426,0.023761207732512148,1.225414716372991
SBT,Thực phẩm và đồ uống,4,0.058039963885676074,0.0581417382927611,0.0705829469952732,0.034430525265634046,-0.000962722639087575,0.5,-0.0964128479342947,0.027047692871435325,0.8572262066869688
VCG,Xây dựng và Vật liệu,4,0.0565165130542482,0.055280775122810155,0.08326386139378882,0.04237393289804457,0.0021093610553179747,0.25,0.06299020957381983,0.025873581698648375,1.047127275279858
BMP,Xây dựng và Vật liệu,4,0.05509419067675472,0.0530476945132249,0.0701761544914916,0.024358930066227875,-0.0003807064858847,1.0,0.09073385688779174,0.019634459059107073,1.1639246666461054
TCH,Bất động sản,4,0.05430471091676732,0.0550146958557889,0.0699082698265555,0.036780424416065195,0.001116304563765875,0.75,0.1623967280344764,0.025404752808010175,1.1948184290344788
PVT,Hàng & Dịch vụ Công nghiệp,4,0.05257478100247677,0.049700568080879706,0.06658230710308999,0.05296799633651965,0.000393215334042875,0.25,0.07302197483146497,0.016450126768681128,0.9124586226208627
VGC,Xây dựng và Vật liệu,4,0.05256908334558823,0.048846944933757144,0.0696677514351903,-0.007029436528682726,0.0016623519477434,0.5,0.1280817199390664,0.02722746397994585,1.1459729764943898
DXG,Bất động sản,4,0.05211376585066323,0.05372307688230655,0.0652770635206253,0.0319974860176444,0.000989433436188825,0.0,-0.03303278394288005,0.026303205919241852,1.0022845203788155
BSI,Dịch vụ tài chính,4,0.0497976789192762,0.05059538493514995,0.0686914593679829,-0.0030726189725100994,2.070525079029997e-05,0.25,-0.04573697623706425,0.029333676017383625,2.0533754944246163
MSN,Thực phẩm và đồ uống,4,0.04798454507681525,0.0477056043746416,0.05580958445170831,0.0287287076935172,0.001102856169836697,0.5,0.12885297687400407,0.018959047678615275,0.7889998593965943
