code,stock_days,latest_date,hard_issue_rows,imputed_rows,event_rows,coverage_pct,days_since_latest,quality_score
MET,1569,2026-03-31,0,0,0,1.0,0,100.0
MRK,1569,2026-03-31,0,0,0,1.0,0,100.0
MS,1569,2026-03-31,0,0,0,1.0,0,100.0
MSFT,1569,2026-03-31,0,0,0,1.0,0,100.0
NEE,1569,2026-03-31,0,0,0,1.0,0,100.0
NKE,1569,2026-03-31,0,0,0,1.0,0,100.0
NOW,1569,2026-03-31,0,0,0,1.0,0,100.0
PFE,1569,2026-03-31,0,0,0,1.0,0,100.0
PG,1569,2026-03-31,0,0,0,1.0,0,100.0
PM,1569,2026-03-31,0,0,0,1.0,0,100.0
RTX,1569,2026-03-31,0,0,0,1.0,0,100.0
SCHW,1569,2026-03-31,0,0,0,1.0,0,100.0
SO,1569,2026-03-31,0,0,0,1.0,0,100.0
T,1569,2026-03-31,0,0,0,1.0,0,100.0
TMO,1569,2026-03-31,0,0,0,1.0,0,100.0
TXN,1569,2026-03-31,0,0,0,1.0,0,100.0
UNP,1569,2026-03-31,0,0,0,1.0,0,100.0
UPS,1569,2026-03-31,0,0,0,1.0,0,100.0
USB,1569,2026-03-31,0,0,0,1.0,0,100.0
V,1569,2026-03-31,0,0,0,1.0,0,100.0
VZ,1569,2026-03-31,0,0,0,1.0,0,100.0
WFC,1569,2026-03-31,0,0,0,1.0,0,100.0
WMT,1569,2026-03-31,0,0,0,1.0,0,100.0
XOM,1569,2026-03-31,0,0,0,1.0,0,100.0
ASML,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
CSGP,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
CSX,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
CTAS,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
EA,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
EXC,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
KHC,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
MNST,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
ODFL,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
PAYX,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
REGN,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
TTWO,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
VRSK,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
WDAY,1548,2026-03-02,0,0,0,0.9866156787762906,29,99.19694072657744
AIG,1569,2026-03-31,0,0,1,1.0,0,98.0
COF,1569,2026-03-31,0,0,1,1.0,0,98.0
CRM,1569,2026-03-31,0,0,1,1.0,0,98.0
FDX,1569,2026-03-31,0,0,1,1.0,0,98.0
LOW,1569,2026-03-31,0,0,1,1.0,0,98.0
MMM,1569,2026-03-31,0,0,1,1.0,0,98.0
NVDA,1569,2026-03-31,0,0,1,1.0,0,98.0
SBUX,1569,2026-03-31,0,0,1,1.0,0,98.0
UNH,1569,2026-03-31,0,0,1,1.0,0,98.0
AMAT,1548,2026-03-02,0,0,1,0.9866156787762906,29,97.19694072657744
IDXX,1548,2026-03-02,0,0,1,0.9866156787762906,29,97.19694072657744
ILMN,1548,2026-03-02,0,0,1,0.9866156787762906,29,97.19694072657744
LULU,1548,2026-03-02,0,0,1,0.9866156787762906,29,97.19694072657744
NXPI,1548,2026-03-02,0,0,1,0.9866156787762906,29,97.19694072657744
SNPS,1548,2026-03-02,0,0,1,0.9866156787762906,29,97.19694072657744
AMD,1569,2026-03-31,0,0,2,1.0,0,96.0
AXP,1569,2026-03-31,0,0,2,1.0,0,96.0
COP,1569,2026-03-31,0,0,2,1.0,0,96.0
CVX,1569,2026-03-31,0,0,2,1.0,0,96.0
NFLX,1569,2026-03-31,0,0,2,1.0,0,96.0
ORCL,1569,2026-03-31,0,0,2,1.0,0,96.0
TGT,1569,2026-03-31,0,0,2,1.0,0,96.0
BKR,1548,2026-03-02,0,0,2,0.9866156787762906,29,95.19694072657744
EXPE,1548,2026-03-02,0,0,2,0.9866156787762906,29,95.19694072657744
PYPL,1548,2026-03-02,0,0,2,0.9866156787762906,29,95.19694072657744
ROST,1548,2026-03-02,0,0,2,0.9866156787762906,29,95.19694072657744
ZM,1548,2026-03-02,0,0,2,0.9866156787762906,29,95.19694072657744
BA,1569,2026-03-31,0,0,3,1.0,0,94.0
META,1569,2026-03-31,0,0,4,1.0,0,92.0
SPG,1569,2026-03-31,0,0,4,1.0,0,92.0
FANG,1548,2026-03-02,0,0,4,0.9866156787762906,29,91.19694072657744
FTNT,1548,2026-03-02,0,0,4,0.9866156787762906,29,91.19694072657744
OKTA,1548,2026-03-02,0,0,4,0.9866156787762906,29,91.19694072657744
ZS,1548,2026-03-02,0,0,4,0.9866156787762906,29,91.19694072657744
AMGN,1316,2026-03-31,0,0,0,0.8387507966857871,0,90.32504780114722
COST,1316,2026-03-31,0,0,0,0.8387507966857871,0,90.32504780114722
GILD,1316,2026-03-31,0,0,0,0.8387507966857871,0,90.32504780114722
INTU,1316,2026-03-31,0,0,0,0.8387507966857871,0,90.32504780114722
PEP,1316,2026-03-31,0,0,0,0.8387507966857871,0,90.32504780114722
QCOM,1316,2026-03-31,0,0,0,0.8387507966857871,0,90.32504780114722
TMUS,1316,2026-03-31,0,0,0,0.8387507966857871,0,90.32504780114722
MO,1569,2026-03-31,1,0,0,1.0,0,90.0
ADI,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
ADP,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
AEP,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
AZN,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
CDNS,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
CDW,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
CHTR,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
CRWD,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
CTSH,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
FAST,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
KDP,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
KLAC,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
LRCX,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
MAR,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
MELI,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
MU,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
ORLY,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
PCAR,1295,2026-03-02,0,0,0,0.8253664754620778,29,89.52198852772466
ALGN,1548,2026-03-02,0,0,5,0.9866156787762906,29,89.19694072657744
ON,1548,2026-03-02,0,0,5,0.9866156787762906,29,89.19694072657744
AVGO,1316,2026-03-31,0,0,1,0.8387507966857871,0,88.32504780114722
DASH,1295,2026-03-02,0,0,1,0.8253664754620778,29,87.52198852772466
DXCM,1295,2026-03-02,0,0,1,0.8253664754620778,29,87.52198852772466
MCHP,1295,2026-03-02,0,0,1,0.8253664754620778,29,87.52198852772466
PANW,1295,2026-03-02,0,0,1,0.8253664754620778,29,87.52198852772466
VRTX,1295,2026-03-02,0,0,1,0.8253664754620778,29,87.52198852772466
MRNA,1548,2026-03-02,0,0,6,0.9866156787762906,29,87.19694072657744
SIRI,1548,2026-03-02,1,0,1,0.9866156787762906,29,87.19694072657744
INTC,1316,2026-03-31,0,0,2,0.8387507966857871,0,86.32504780114722
TSLA,1316,2026-03-31,0,0,2,0.8387507966857871,0,86.32504780114722
BIIB,1295,2026-03-02,0,0,2,0.8253664754620778,29,85.52198852772466
DDOG,1295,2026-03-02,0,0,2,0.8253664754620778,29,85.52198852772466
DLTR,1295,2026-03-02,0,0,2,0.8253664754620778,29,85.52198852772466
TEAM,1295,2026-03-02,0,0,2,0.8253664754620778,29,85.52198852772466
WBD,1295,2026-03-02,0,0,3,0.8253664754620778,29,83.52198852772466
DOCU,1295,2026-03-02,0,0,5,0.8253664754620778,29,79.52198852772466
PDD,1295,2026-03-02,0,0,5,0.8253664754620778,29,79.52198852772466
MDB,1295,2026-03-02,0,0,8,0.8253664754620778,29,73.52198852772466
CEG,1032,2026-03-02,0,0,3,0.6577437858508605,29,73.46462715105163
PLTR,1381,2026-03-31,0,0,10,0.8801784576163161,0,72.81070745697896
GEHC,803,2026-03-02,0,0,0,0.5117909496494583,29,70.7074569789675
LCID,1295,2026-03-02,0,0,12,0.8253664754620778,29,65.52198852772466
RIVN,1079,2026-03-02,0,0,8,0.6876991714467814,29,65.26195028680688
ARM,617,2026-03-02,0,0,3,0.3932441045251753,29,57.59464627151052
