stock,company_name,sector,industry,sub_industry,com_type_code,run_name,best_by_val,best_val_rel_score,best_by_test,best_test_rel_score,best_test_val_rel_score
PTB,Công ty Cổ phần Phú Tài,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,CT,search_ptb_expanded,"lower_shadow,rolling_max_20_gap",0.057286084339320364,"volume_zscore_20,price_acceleration",0.0246706385644832,-0.0279377280317767
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Thiết bị và Dịch vụ Dầu khí,CT,search_pvd_expanded,"volume_ma_20,obv_change",0.05262498231154067,"upper_shadow,volatility_5",0.0703600703807819,-0.0415647994363288
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy,CT,search_pvt_expanded,"high_close_gap,obv_change",0.02829638353274455,"close_low_gap,return_10",0.1027115650427542,-0.0248600952275703
REE,Công ty Cổ phần Cơ điện Lạnh,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,CT,search_ree_expanded,"close_position,upper_shadow",0.03619774244685536,"volume_change,return_10",0.0297370723669386,0.0033340634441646
SAB,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,CT,search_sab_expanded,"volume_ratio_20,close_position",0.0717750651847795,"close_low_gap,price_acceleration",0.0506661676399295,-0.0216374593165935
SBT,Công ty Cổ phần Thành Thành Công - Biên Hòa,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,CT,search_sbt_expanded,"adjust_return,rolling_min_20_gap",0.043088640252390786,"atr_gap,vwap_gap",0.0816114946268093,-0.0071624017297553
SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,Du lịch và Giải trí,Du lịch & Giải trí,Hàng không,CT,search_scs_expanded,"volume_change,ma_cross_5_20",-0.005275792036553595,"volatility_ratio,ma_cross_5_20",0.0707661805256197,-0.0877254006582699
SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_shb_expanded,"vwap_gap,obv_change",0.0011506341816297505,"overnight_return,volatility_ratio",0.0603123075691851,-0.1153003867218274
SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,Bất động sản,Bất động sản,Bất động sản,CT,search_sip_expanded,"close_position,atr_14",0.046710600814290903,"volume_ratio_5,lower_shadow",0.0519077385436579,-0.0522747548687079
SJS,Công ty Cổ phần SJ Group,Bất động sản,Bất động sản,Bất động sản,CT,search_sjs_expanded,range_pct,0.029300056803770125,"volume_zscore_20,signed_volume",0.0220530775897956,-0.0747912866145776
