stocks,target_mode,target_column,window_size,feature_pool,min_combo_size,max_combo_size,min_rel_score,tested_combinations,good_combinations,best_val_rel_score,best_test_rel_score,best_features
VSC,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,6,0.05158163363969248,0.006711455357184093,"intraday_return,close_low_gap"
GEX,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,4,0.03273935975758746,0.00625727953555355,"intraday_return,close_low_gap"
FRT,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,50,0.09239813858204182,0.0039889581098030424,"close_low_gap,signed_volume"
EVF,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,5,0.04424791282102236,0.003656708641438633,"atr_14,volatility_ratio"
SHB,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,0,0.0011506341816297505,0.002552617431276105,"vwap_gap,obv_change"
VIC,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,4,0.05043401664426006,0.0023791502056468294,"volatility_5,volatility_ratio"
VIX,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,50,0.08112373545858265,0.002256790906575601,"atr_14,volatility_10"
ACB,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,0,0.025661132032936407,0.0015794547043120888,"intraday_return,close_position"
CII,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,50,0.06339717460546668,0.0015535275591016529,"price_acceleration,obv_change"
HT1,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,28,0.052825183177449664,0.0008766381073312957,"overnight_return,close_position"
BVH,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,50,0.06425693596964266,0.00035757825533067056,"rolling_max_20_gap,rolling_min_20_gap"
