stock,company_name,sector,industry,sub_industry,com_type_code,run_name,best_by_val,best_val_rel_score,best_by_test,best_test_rel_score,best_test_val_rel_score
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Bất động sản,Bất động sản,Bất động sản,CT,search_dig_expanded,"close_position,bb_width",0.07005422150714624,"lower_shadow,momentum_20",0.0696899836673708,0.0339254356710478
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,search_dpm_expanded,"intraday_return,macd",0.05224775229878609,"volatility_20,bb_width",0.0425780706403157,-0.0043952831357345
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản,Bất động sản,Bất động sản,CT,search_dxg_expanded,"close_position,momentum_20",0.0725138010732741,"upper_shadow,obv_change",0.0502192138150658,-0.0156154835784856
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_eib_expanded,"bb_width,macd_hist",0.021339609969671325,"intraday_return,rolling_max_20_gap",0.0305142872317257,-0.0040656024229079
EVF,Công ty Tài chính Cổ phần Điện Lực,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính cá nhân,NH,search_evf_expanded,"lower_shadow,above_ma_200",0.04082254784282868,"ma_200_gap,bb_width",0.0274152497007813,-0.0202704728044949
FPT,Công ty Cổ phần FPT,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,CT,search_fpt_expanded,"gap_open,volatility_20",0.056782063407521455,"close_position,vwap_gap",0.0044603260657825,0.0010509783344019
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,CT,search_frt_expanded,"rolling_max_20_gap,bb_width",0.0428166094147171,"gap_open,lower_shadow",0.0242958001738485,-0.0210052028793275
FTS,Công ty Cổ phần Chứng khoán FPT,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,search_fts_expanded,"volume_zscore_20,lower_shadow",0.06793337054992421,"lower_shadow,volatility_20",0.0322535879666058,-0.046564280150861
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,CT,search_gas_expanded,"close_position,atr_gap",0.0192409730309967,"momentum_20,rolling_max_20_gap",0.071054007452046,-0.0706292834714761
GEX,Công ty Cổ phần Tập đoàn Gelex,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,CT,search_gex_expanded,"intraday_return,bb_position",0.033734797210720036,"volatility_20,bb_width",0.0464344733896788,-0.0468896958999947
GMD,Công ty Cổ phần Gemadept,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",CT,search_gmd_expanded,"intraday_return,volatility_20",0.026468735700419965,"intraday_return,ma_200_gap",0.0174908385060413,-0.0004146185963564
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,search_gvr_expanded,"atr_gap,bb_width",0.06151560885938223,"volatility_20,macd_signal",0.0459712317969496,-0.0401211088148774
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,CT,search_hag_expanded,"gap_open,volatility_20",0.0537293038576081,"gap_open,close_position",0.02908431999787,-0.0214881458238795
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,search_hcm_expanded,"lower_shadow,atr_gap",0.053820309119227194,"volume_zscore_20,upper_shadow",0.036449314559157,-0.0227635530501215
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_hdb_expanded,"volume_ratio_20,gap_open",0.03887744791646486,"intraday_return,momentum_20",0.0501489075655274,-0.0369731781456699
HDC,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,Bất động sản,Bất động sản,Bất động sản,CT,search_hdc_expanded,"bb_width,macd_signal",-0.0002198907023807095,"bb_width,vwap_gap",0.032552588621168,-0.0109869413510788
HDG,Công ty Cổ phần Tập đoàn Hà Đô,Bất động sản,Bất động sản,Bất động sản,CT,search_hdg_expanded,lower_shadow,0.0039668236638242815,"ma_200_gap,macd_signal",0.0568606687323249,-0.0902981421998072
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,search_hhv_expanded,"ma_20_gap,macd_signal",0.024846112972622514,"intraday_return,momentum_5",0.0303909142017586,-0.0072190408511045
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,CT,search_hpg_expanded,"momentum_5,above_ma_200",0.045039101503889456,"gap_open,vwap_gap",0.0160855951006075,-0.033839498655573
HSG,Công ty Cổ phần Tập đoàn Hoa Sen,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,CT,search_hsg_expanded,"volume_ratio_20,obv_change",0.013534434709005172,"above_ma_200,obv_change",-0.0027579873068248,-0.0001010305277957
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,search_ht1_expanded,"gap_open,close_position",0.052825392214827405,"ma_200_gap,bb_position",0.0381514278021625,-0.0479694602919877
IMP,Công ty Cổ phần Dược phẩm IMEXPHARM,Y tế,Dược phẩm,Dược phẩm,CT,search_imp_expanded,"lower_shadow,atr_gap",0.07355842675799729,"close_position,volatility_20",0.0725433210024393,-0.0016179367540092
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc,Bất động sản,Bất động sản,Bất động sản,CT,search_kbc_expanded,"volatility_20,obv_change",0.03916172077612945,"intraday_return,vwap_gap",0.030679752044166,0.0075158901870014
KDC,Công ty Cổ phần Tập đoàn KIDO,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,CT,search_kdc_expanded,"momentum_5,momentum_20",0.0849000446446252,"volatility_20,vwap_gap",0.0164539959161785,0.0379760932652947
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Bất động sản,Bất động sản,Bất động sản,CT,search_kdh_expanded,"gap_open,volatility_20",0.04595230225380742,"momentum_5,bb_width",0.0362777309101817,-0.0101835984371061
KOS,Công ty Cổ phần KOSY,Bất động sản,Bất động sản,Bất động sản,CT,search_kos_expanded,vwap_gap,0.10026664397593188,"bb_width,obv_change",0.1376172706520294,0.0559392245774075
LPB,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_lpb_expanded,"atr_gap,above_ma_200",0.05978719060995574,"ma_200_gap,rolling_max_20_gap",0.0112643498665293,0.0196177296499582
MBB,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_mbb_expanded,"lower_shadow,bb_position",0.01902677379825346,"intraday_return,momentum_5",0.050190114197595,-0.0601199333720434
MSN,Công ty Cổ phần Tập đoàn Masan,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,CT,search_msn_expanded,"atr_gap,volatility_20",0.04053882267490694,"volume_ratio_20,volume_zscore_20",0.0683343323418168,-0.0148988417673481
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,CT,search_mwg_expanded,"volume_zscore_20,bb_width",0.048734721736335085,lower_shadow,0.0375692821398619,-0.0337192236575278
NKG,Công ty Cổ phần Thép Nam Kim,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,CT,search_nkg_expanded,"volume_ratio_20,volatility_20",0.0005107507601430639,volatility_20,0.0262180135166467,-0.0254781482134698
NLG,Công ty Cổ phần Đầu tư Nam Long,Bất động sản,Bất động sản,Bất động sản,CT,search_nlg_expanded,"gap_open,bb_position",0.07027810144662683,"bb_width,macd",0.0438790406604888,-0.0108994160454463
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,CT,search_nt2_expanded,"volume_zscore_20,bb_width",0.05124844228073122,"intraday_return,close_position",0.0444264076553193,-0.0353913687453388
PAN,Công ty Cổ phần Tập đoàn PAN,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,CT,search_pan_expanded,"gap_open,volatility_20",0.017004188399061038,"atr_gap,bb_width",0.0779865790956926,-0.0449605287678138
PC1,Công ty Cổ phần Tập đoàn PC1,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,search_pc1_expanded,"lower_shadow,obv_change",0.021751789300840985,"momentum_5,momentum_20",0.0367619286544812,-0.0998883326748238
PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,Bất động sản,Bất động sản,Bất động sản,CT,search_pdr_expanded,"volume_zscore_20,above_ma_200",0.05662355016814724,"rolling_max_20_gap,macd",0.0284749006700857,0.0070993960326343
PHR,Công ty Cổ phần Cao su Phước Hòa,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,search_phr_expanded,"gap_open,obv_change",0.01693716628651709,"volatility_20,bb_position",0.0855378979807854,-0.0210245222053186
PLX,Tập đoàn Xăng dầu Việt Nam,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí,CT,search_plx_expanded,"gap_open,obv_change",0.047242155241085215,"momentum_5,macd",0.077135523413184,0.0021812870145425
PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,CT,search_pnj_expanded,"volume_zscore_20,upper_shadow",0.03023059289016905,"close_position,atr_gap",0.0327533929996959,-0.0369673952036815
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,CT,search_pow_expanded,"rolling_max_20_gap,macd",0.03978494598275828,"bb_position,vwap_gap",0.0300879574122704,-0.0122698967120391
PPC,Công ty Cổ phần Nhiệt điện Phả Lại,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,CT,search_ppc_expanded,"momentum_20,bb_width",0.07479913634804636,"momentum_20,atr_gap",0.0184053307775252,0.0371648074584111
PTB,Công ty Cổ phần Phú Tài,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,CT,search_ptb_expanded,"lower_shadow,bb_position",0.0726329265663539,"volume_ratio_20,above_ma_200",0.0052650675314703,0.0093437923891891
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Thiết bị và Dịch vụ Dầu khí,CT,search_pvd_expanded,vwap_gap,0.02386592062837234,"close_position,volatility_20",0.065388215594107,-0.0802878731875991
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy,CT,search_pvt_expanded,"bb_width,vwap_gap",0.027251875670624703,"bb_width,bb_position",0.09177112637727,-0.0332784454828332
REE,Công ty Cổ phần Cơ điện Lạnh,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,CT,search_ree_expanded,"close_position,upper_shadow",0.036197802945243995,"volume_ratio_20,momentum_20",0.0082152760597771,0.0119032679584327
SAB,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,CT,search_sab_expanded,"volume_ratio_20,close_position",0.071775032927343,"volume_ratio_20,volume_zscore_20",0.0346456155646974,0.0375402153296079
SBT,Công ty Cổ phần Thành Thành Công - Biên Hòa,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,CT,search_sbt_expanded,"upper_shadow,ma_200_gap",0.025792058009963537,"atr_gap,vwap_gap",0.0816114946268093,-0.0071624017297553
SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,Du lịch và Giải trí,Du lịch & Giải trí,Hàng không,CT,search_scs_expanded,"gap_open,ma_200_gap",0.005001282541757246,"momentum_20,atr_gap",0.0425867585219396,-0.0243734074013595
SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_shb_expanded,"vwap_gap,obv_change",0.0011506341816297505,"upper_shadow,lower_shadow",0.0418109298242316,-0.1236298847108527
SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,Bất động sản,Bất động sản,Bất động sản,CT,search_sip_expanded,"atr_gap,volatility_20",0.045706970858274354,"volume_zscore_20,lower_shadow",0.0418712289286545,-0.0695832653449932
SJS,Công ty Cổ phần SJ Group,Bất động sản,Bất động sản,Bất động sản,CT,search_sjs_expanded,"atr_gap,rolling_max_20_gap",0.011502629897956584,"ma_20_gap,vwap_gap",0.0172280275734661,-0.0405093505413456
SSI,Công ty Cổ phần Chứng khoán SSI,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,search_ssi_expanded,"volatility_20,bb_width",0.030841253258143464,"momentum_20,macd_signal",0.0199654833548893,-0.0491686839898608
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_stb_expanded,"intraday_return,bb_width",0.05304891662346978,"intraday_return,bb_position",0.0372527787067495,-0.0129824799824755
SZC,Công ty Cổ phần Sonadezi Châu Đức,Bất động sản,Bất động sản,Bất động sản,CT,search_szc_expanded,vwap_gap,0.02116646464602534,"upper_shadow,volatility_20",0.0701919438765161,-0.0810156317008086
TCB,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_tcb_expanded,"momentum_20,rolling_max_20_gap",0.07197150565869004,"above_ma_200,vwap_gap",0.0316234740575965,0.0562946459870656
TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Bất động sản,Bất động sản,Bất động sản,CT,search_tch_expanded,"momentum_20,above_ma_200",0.0599250865321902,"atr_gap,ma_20_gap",0.0309849107028746,-0.0315761106993446
TLG,Công ty Cổ phần Tập đoàn Thiên Long,Hàng cá nhân & Gia dụng,Hàng gia dụng,Đồ gia dụng một lần,CT,search_tlg_expanded,"intraday_return,vwap_gap",0.05541832166301297,"intraday_return,vwap_gap",0.0536463869332074,0.0554183216630129
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_tpb_expanded,"volatility_20,vwap_gap",0.05541629778889379,"volatility_20,vwap_gap",0.0557453591191305,0.0554162977888937
VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_vcb_expanded,"momentum_20,rolling_max_20_gap",0.08502837342326053,"gap_open,upper_shadow",0.0512017393629206,-0.0288415418886271
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,search_vcg_expanded,"upper_shadow,macd_hist",0.023178801206077404,"atr_gap,ma_200_gap",0.0358886806728223,-0.0086428494150865
VCI,Công ty Cổ phần Chứng khoán Vietcap,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,search_vci_expanded,"lower_shadow,volatility_20",0.04991864001295465,"close_position,obv_change",0.0449172915702958,-0.0098690146143884
VGC,Tổng Công ty Viglacera - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,search_vgc_expanded,"upper_shadow,lower_shadow",0.03536019902576881,"volume_ratio_20,momentum_20",0.0525696163327372,-0.0297262689762936
VHC,Công ty Cổ phần Vĩnh Hoàn,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,CT,search_vhc_expanded,"lower_shadow,bb_width",-0.0012298983607719194,"intraday_return,atr_gap",0.054058949980823,-0.0507261202182622
VHM,Công ty Cổ phần Vinhomes,Bất động sản,Bất động sản,Bất động sản,CT,search_vhm_expanded,"gap_open,upper_shadow",0.0523633463249632,"momentum_20,macd",0.124932308192373,-0.0091929143393441
VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_vib_expanded,"upper_shadow,ma_200_gap",-0.020790388376393576,"atr_gap,macd_signal",0.037805958451341,-0.0762928998540457
VIC,Tập đoàn Vingroup - Công ty CP,Bất động sản,Bất động sản,Bất động sản,CT,search_vic_expanded,"upper_shadow,atr_gap",0.03724552614593479,"upper_shadow,momentum_20",0.0720828428931114,-0.0164899754175202
VIX,Công ty Cổ phần Chứng khoán VIX,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,search_vix_expanded,"momentum_20,rolling_max_20_gap",0.07116975033208661,"volume_zscore_20,macd",0.0777623824459714,0.0395556502395315
VJC,Công ty Cổ phần Hàng không Vietjet,Du lịch và Giải trí,Du lịch & Giải trí,Hàng không,CT,search_vjc_expanded,"gap_open,upper_shadow",0.061580899167933634,"close_position,momentum_5",0.0254396483786816,-0.0844296550926844
VND,Công ty Cổ phần Chứng khoán VNDIRECT,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,search_vnd_expanded,"above_ma_200,macd_signal",0.02590229775602204,"volatility_20,macd",0.0233298027765573,-0.0356320487000545
VNM,Công ty Cổ phần Sữa Việt Nam,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,CT,search_vnm_expanded,"lower_shadow,atr_gap",0.033792518356360546,"upper_shadow,vwap_gap",0.061066279979806,-0.0177973031541245
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_vpb_expanded,"close_position,momentum_20",0.08264656098780632,"gap_open,close_position",0.0218886956924786,0.0380720947616931
VPI,Công ty Cổ phần Đầu tư Văn Phú - Invest,Bất động sản,Bất động sản,Bất động sản,CT,search_vpi_expanded,"ma_20_gap,rolling_max_20_gap",0.014427574536379328,"volatility_20,bb_width",0.042072644799181,-0.087020972449715
VRE,Công ty Cổ phần Vincom Retail,Bất động sản,Bất động sản,Bất động sản,CT,search_vre_expanded,"volatility_20,above_ma_200",0.023997723202778043,"momentum_20,rolling_max_20_gap",0.1036852985845091,-0.0430880936981967
VSC,Công ty Cổ phần Container Việt Nam,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",CT,search_vsc_expanded,"intraday_return,ma_20_gap",0.02913632745858874,"ma_20_gap,rolling_max_20_gap",0.0692330148159704,-0.0124933712682111
VTP,Tổng Công ty Cổ phần Bưu chính Viettel,Hàng & Dịch vụ Công nghiệp,Vận tải,Chuyển phát nhanh,CT,search_vtp_expanded,"momentum_20,macd",0.05471130116886458,"atr_gap,bb_position",0.0423083449195555,0.0088114323690973
