n,rel_score,absE_robust,base_robust,absE_q90,DA,pred_actual_q90_ratio,market,model
58998,-0.005558636422114072,0.020225797471357512,0.020113991107791662,0.024279550439678135,0.5031187497881284,0.08470801757698398,US,seed62_raw
58998,-0.006202029590965719,0.02023873867583461,0.020113991107791662,0.024304255889728666,0.5031187497881284,0.08894341252506499,US,seed62_train_cal
58998,-0.0018900746882695163,0.02015200805326458,0.020113991107791662,0.02418420267640613,0.5060680023051629,0.05778751139527196,US,seed71_raw
58998,-0.0019464240639894825,0.02015314146410674,0.020113991107791662,0.02418432972626761,0.5060680023051629,0.04911938169648825,US,seed71_train_cal
58998,-0.0015113488812121822,0.020144390365749134,0.020113991107791662,0.024186362719046887,0.504779823044849,0.06518254769523793,US,seed82_raw
58998,-0.0013206741053783944,0.020140555135003534,0.020113991107791662,0.02417784052668141,0.504779823044849,0.07495992874051818,US,seed82_train_cal
58998,-0.005607444901450043,0.02022677920467686,0.020113991107791662,0.02428535360377282,0.506593443845554,0.09063910980384336,US,selected_train_only_portable_ensemble
16660,-0.0024660497923483238,0.02035350761434529,0.020303438324481247,0.024079350871033967,0.4991596638655462,0.045235558441473644,JP,ensemble_mean_raw
16660,-0.0011012515227240005,0.020325797516852616,0.020303438324481247,0.024067108478629962,0.4991596638655462,0.020356000547440592,JP,ensemble_mean_train_cal
16660,-0.000885250231221324,0.020321411947952582,0.020303438324481247,0.02400051801232621,0.4989795918367347,0.04179862561207578,JP,ensemble_median_raw
16660,-1.2805308602148457e-05,0.020303698316274675,0.020303438324481247,0.02399905231432058,0.4989795918367347,0.02089931280603789,JP,ensemble_median_train_cal
16660,-0.0010808402915623017,0.020325383098679598,0.020303438324481247,0.023986706015421085,0.5009003601440576,0.05664796809440929,JP,seed43_raw
16660,0.0005487938923189883,0.020292295921535697,0.020303438324481247,0.023978186800377443,0.5009003601440576,0.025491582298332184,JP,seed43_train_cal
16660,-0.009592039864277924,0.02049818971427158,0.020303438324481247,0.02413328897673637,0.5016206482593037,0.12811221809370557,JP,seed52_raw
16660,-0.0008140262791134223,0.020319965856833735,0.020303438324481247,0.024038066450157207,0.5016206482593037,0.006405611074316177,JP,seed52_train_cal
16660,-0.002701453744209159,0.020358287123963238,0.020303438324481247,0.02408869944047183,0.50078031212485,0.06340040274756614,JP,seed62_raw
16660,-0.0014278327264303226,0.020332428238180003,0.020303438324481247,0.024052244008635173,0.50078031212485,0.057060357771610344,JP,seed62_train_cal
16660,-0.0024291119617443346,0.020352757649379785,0.020303438324481247,0.02408496639109217,0.49891956782713087,0.05717328203002224,JP,seed71_raw
16660,-0.000825714164800706,0.020320203161099927,0.020303438324481247,0.02404246982478071,0.49891956782713087,0.011434656745266246,JP,seed71_train_cal
16660,0.001020283040035208,0.02028272307070438,0.020303438324481247,0.023918749886797742,0.5037214885954382,0.04890242256109095,JP,seed82_raw
16660,0.0011022395952865471,0.020281059070839547,0.020303438324481247,0.023890950600616634,0.5037214885954382,0.06601827084520055,JP,seed82_train_cal
16660,-1.2805308602148457e-05,0.020303698316274675,0.020303438324481247,0.02399905231432058,0.4989795918367347,0.02089931280603789,JP,selected_train_only_portable_ensemble
