n,rel_score,absE_robust,base_robust,absE_q90,DA,pred_actual_q90_ratio,market,model,fold_id,test_start,test_end,alpha_rel_score,alpha_absE_robust,selected_from_train
546,0.009240603875488751,0.0268520834906667,0.02710252720862627,0.030550587718607858,0.5073260073260073,0.04146925336358292,JP,seed62_train_cal,17,2021-09-16,2021-10-18,0.00515533083953279,0.020245372423232766,
546,0.018865902919628308,0.02134402870797203,0.02175444597378373,0.025270363585150335,0.5146520146520146,0.04209127033758432,JP,seed62_train_cal,18,2021-10-19,2021-11-17,0.02258461883664198,0.01726809557294473,
546,0.00590288598224209,0.027211418961087475,0.027372998651117086,0.030009880691068247,0.5256410256410257,0.042999284494814355,JP,seed62_train_cal,19,2021-11-18,2021-12-17,-0.016000794891948278,0.019249952893005684,
546,0.0013346052550563536,0.023338199745921884,0.02336938865482807,0.027469013701193035,0.5128205128205128,0.05234981210012886,JP,seed62_train_cal,20,2021-12-20,2022-01-20,-0.019509742573630362,0.01909917807279271,
546,0.009639640449198295,0.029607197579025524,0.029895378276705742,0.034941707919642795,0.4926739926739927,0.0733399520484672,JP,seed62_train_cal,21,2022-01-21,2022-02-21,-0.03575746884497266,0.023782279953593388,
546,-0.008817254774281746,0.036558695770509075,0.03623916581273079,0.04281434130098205,0.5091575091575091,0.06383603737180325,JP,seed62_train_cal,22,2022-02-22,2022-03-24,0.032506868756630114,0.024758550396654755,
546,-0.006840614265670508,0.024856077809090493,0.02468720218166709,0.02844447394454619,0.5018315018315018,0.05525544996405205,JP,seed62_train_cal,23,2022-03-25,2022-04-22,-0.0014997076561034106,0.019745123980101198,
544,0.014431045351405714,0.028850319052435222,0.02927275551483035,0.035105207729793614,0.5018382352941176,0.059797131010593405,JP,seed62_train_cal,24,2022-04-25,2022-05-27,-0.026734927589688207,0.023742587721790186,
546,-0.01572378457353185,0.02544297911663307,0.025049112271517515,0.029796664050081745,0.5146520146520146,0.05756773578973817,JP,seed62_train_cal,25,2022-05-30,2022-06-27,-0.009889932824757253,0.019951484762714244,
546,-0.011778342246780538,0.023792778568349604,0.023515801411122084,0.027969397642664262,0.521978021978022,0.06327200086652274,JP,seed62_train_cal,26,2022-06-28,2022-07-27,0.0014381459969617927,0.017718058232276235,
546,0.01580836492612847,0.023604505327966763,0.02398364758118987,0.02870055055609555,0.5256410256410257,0.029638575566098047,JP,seed62_train_cal,27,2022-07-28,2022-08-26,-0.007404580990611809,0.01834826509366394,
546,0.008235786711738302,0.02275832547184109,0.0229473146609962,0.026444527398780338,0.48717948717948717,0.03664523461649105,JP,seed62_train_cal,28,2022-08-29,2022-09-28,-0.005288007153133822,0.015312178546082578,
546,0.005686269867349436,0.025279546978708822,0.025424115359783173,0.030302562736324035,0.5036630036630036,0.045904518966669874,JP,seed62_train_cal,29,2022-09-29,2022-10-28,-0.0009265463703860277,0.01765367610641988,
286,-0.002765903782502077,0.025836556666035904,0.02576529234647751,0.03143215551972389,0.527972027972028,0.04910773529681256,JP,seed62_train_cal,30,2022-10-31,2022-11-15,7.214638499819515e-05,0.02372519993878086,
546,0.006717899712345599,0.03615597594762221,0.0364005109295249,0.04045427648816258,0.5293040293040293,0.12570937536416135,JP,seed71_raw,0,2020-04-01,2020-04-30,0.021831989488221515,0.026244031236274168,
545,0.016638617274957856,0.03131686280248687,0.031846748664975166,0.034239311027340597,0.5981651376146789,0.10182647085071786,JP,seed71_raw,1,2020-05-01,2020-06-03,0.005076901396613764,0.025000989180989565,
546,-0.04928920773569212,0.030604634172050282,0.029167015105485916,0.03647160390391946,0.4413919413919414,0.11346098090799685,JP,seed71_raw,2,2020-06-04,2020-07-02,0.03227413976665516,0.0206603730621282,
545,0.006175535818446876,0.026517275122751018,0.026682051084935668,0.029529520045616663,0.47339449541284406,0.06496484040159256,JP,seed71_raw,3,2020-07-03,2020-08-04,-0.018165388900598378,0.021073529339628295,
546,0.023162257089664795,0.023018479463644326,0.023564281407743692,0.027741233294364065,0.5457875457875457,0.08313163157960134,JP,seed71_raw,4,2020-08-05,2020-09-03,-0.014151891382367054,0.020046933932462707,
546,-0.002486006084474912,0.022727297324308893,0.02267093723639846,0.02574212813487975,0.5384615384615384,0.06492978698199181,JP,seed71_raw,5,2020-09-04,2020-10-07,-0.008166041076469233,0.01842095582105685,
546,0.0040402494252371746,0.02524931677544373,0.025351744145154953,0.03039813863870222,0.521978021978022,0.0511938536078801,JP,seed71_raw,6,2020-10-08,2020-11-06,0.0011242123738403054,0.019678303797263652,
546,0.004935995534518844,0.02951422252226621,0.029660627245903015,0.03405679221032187,0.5586080586080586,0.08344837457243008,JP,seed71_raw,7,2020-11-09,2020-12-08,0.011666626037319383,0.0238066115998663,
545,0.000867276564956998,0.02358832540921867,0.023608800768852235,0.027904028166085483,0.5266055045871559,0.0840531073595855,JP,seed71_raw,8,2020-12-09,2021-01-08,-0.015502782069374277,0.02086106651113369,
546,-0.01659770860030596,0.026011794401711086,0.025587107054889202,0.03061667294241488,0.5036630036630036,0.08462181322190394,JP,seed71_raw,9,2021-01-12,2021-02-09,-0.0004270356534377129,0.02295444646733813,
545,-0.0064766200158030696,0.03013866444234737,0.0299447238445282,0.03572787367738785,0.5376146788990825,0.08811646937929908,JP,seed71_raw,10,2021-02-10,2021-03-12,0.0028390996084785014,0.025293722155038268,
546,-0.0031179116170114707,0.025850505247944966,0.025770156178623438,0.02981844072928652,0.521978021978022,0.07381320676315085,JP,seed71_raw,11,2021-03-15,2021-04-12,0.0017528004578011291,0.020411703822901472,
546,0.012091356313637891,0.02710024669067934,0.027431936003267765,0.03155609202804044,0.47435897435897434,0.06687795860818949,JP,seed71_raw,12,2021-04-13,2021-05-17,-0.012450208926944706,0.020976875399355777,
546,0.005850106605607808,0.019265341163873018,0.01937870867550373,0.02307806588942185,0.532967032967033,0.06929279779098509,JP,seed71_raw,13,2021-05-18,2021-06-15,-0.01119649034268222,0.017872258293209597,
546,-0.017816918899611345,0.022364325654052664,0.021972837392240763,0.025436703945160843,0.47802197802197804,0.057284257189600514,JP,seed71_raw,14,2021-06-16,2021-07-14,-0.011147537119733819,0.015121401382202748,
546,-0.01257606141028722,0.022183606997714378,0.021908089518547058,0.026319223223254085,0.4652014652014652,0.04722692223806238,JP,seed71_raw,15,2021-07-15,2021-08-17,-0.017457621071874208,0.017152460794022772,
546,0.007371012246769615,0.021480252718902193,0.02163975965231657,0.023464791011065245,0.5677655677655677,0.05058887660140053,JP,seed71_raw,16,2021-08-18,2021-09-15,0.006361250024145337,0.01706715946784243,
546,-0.0031159199146892913,0.027186976512894034,0.02710252720862627,0.03102292155381292,0.47619047619047616,0.08809207207984521,JP,seed71_raw,17,2021-09-16,2021-10-18,-0.007984408985933333,0.020512769871857017,
546,-0.007119842801011078,0.02190933420934016,0.02175444597378373,0.02620995465258602,0.48534798534798534,0.05734831849637544,JP,seed71_raw,18,2021-10-19,2021-11-17,0.014557999455136916,0.01740990266262088,
546,0.0017858124219684024,0.027324115610099398,0.027372998651117086,0.03034974363981746,0.47619047619047616,0.05853792796808078,JP,seed71_raw,19,2021-11-18,2021-12-17,-0.018316068227375526,0.019293819888844155,
546,0.010624816959889483,0.023121093177906005,0.02336938865482807,0.027013519633328542,0.48534798534798534,0.06895995689127911,JP,seed71_raw,20,2021-12-20,2022-01-20,-0.014986380986192316,0.019014438825252,
546,-0.0015980093391516625,0.029943151370389387,0.029895378276705742,0.03531276696594432,0.4945054945054945,0.07935717994574851,JP,seed71_raw,21,2022-01-21,2022-02-21,-0.008243497278868306,0.02315052493941039,
546,-0.0029088550744422736,0.036344580294098705,0.03623916581273079,0.042394127580337226,0.575091575091575,0.07826843018077331,JP,seed71_raw,22,2022-02-22,2022-03-24,0.015373141363286713,0.025197009585099295,
546,-0.017608990058221474,0.025121918879449368,0.02468720218166709,0.029434498166665435,0.43772893772893773,0.09988645620245598,JP,seed71_raw,23,2022-03-25,2022-04-22,-0.011998598627005252,0.019952115457272157,
544,0.005287928097746142,0.029117963288445025,0.02927275551483035,0.03491914530750364,0.5128676470588235,0.0791086540907344,JP,seed71_raw,24,2022-04-25,2022-05-27,-0.018579316743990937,0.02355399444350041,
546,-0.016171222881170344,0.02545418704903568,0.025049112271517515,0.030083906181971543,0.5256410256410257,0.08824078918339888,JP,seed71_raw,25,2022-05-30,2022-06-27,-0.01836482488832636,0.020118915563216433,
546,-0.002359615827381756,0.023571289668325335,0.023515801411122084,0.027461166435386986,0.5256410256410257,0.060485141635375855,JP,seed71_raw,26,2022-06-28,2022-07-27,-0.013089348358328312,0.017975827933696564,
546,0.009214547183856281,0.023762649128912017,0.02398364758118987,0.029223258490674198,0.510989010989011,0.07093134145873194,JP,seed71_raw,27,2022-07-28,2022-08-26,0.00773738987160888,0.018072478284011595,
546,-0.004062794296987526,0.023040544880132074,0.0229473146609962,0.02672384622201207,0.4926739926739927,0.05287253284100383,JP,seed71_raw,28,2022-08-29,2022-09-28,0.01067625913169934,0.015069016691995785,
546,-0.0019781334151631746,0.025474407651927322,0.025424115359783173,0.030280147038865834,0.4926739926739927,0.058323162727336175,JP,seed71_raw,29,2022-09-29,2022-10-28,-0.016588557879845922,0.01792991223919671,
286,-0.007070537099047813,0.02594746680188109,0.02576529234647751,0.03064273415657226,0.5174825174825175,0.0516893388957326,JP,seed71_raw,30,2022-10-31,2022-11-15,0.008044648437373514,0.023536037086159922,
546,0.0022001515373604175,0.0363204242894426,0.0364005109295249,0.039805478882044554,0.5293040293040293,0.025141875649264962,JP,seed71_train_cal,0,2020-04-01,2020-04-30,0.003477206386204079,0.026736486004665494,
545,0.008062673600824799,0.03158997872524197,0.031846748664975166,0.0350764681090368,0.5981651376146789,0.02036529495482188,JP,seed71_train_cal,1,2020-05-01,2020-06-03,0.0023619736001591063,0.02506921141903149,
546,-0.010925360953966123,0.02948567527346313,0.029167015105485916,0.03565297616296448,0.4413919413919414,0.022692196345763985,JP,seed71_train_cal,2,2020-06-04,2020-07-02,0.0073270315523406016,0.021192979023908265,
545,0.0030619071541889697,0.02660035312183027,0.026682051084935668,0.02995220070879441,0.47339449541284406,0.01299296815815338,JP,seed71_train_cal,3,2020-07-03,2020-08-04,-0.004777339379654855,0.02079642951139249,
546,-0.004761356710975662,0.02367647935716377,0.023564281407743692,0.028649587588006398,0.5457875457875457,0.016626326214273155,JP,seed71_train_cal,4,2020-08-05,2020-09-03,-0.005654528927800495,0.01987896494756569,
546,0.0012890200471682434,0.022641713943812647,0.02267093723639846,0.025541412738675717,0.5384615384615384,0.012985957852871263,JP,seed71_train_cal,5,2020-09-04,2020-10-07,2.0435142512598148e-05,0.018271374590767664,
546,-0.004693192089067377,0.025470724750221052,0.025351744145154953,0.030741875383682782,0.521978021978022,0.01023877110224243,JP,seed71_train_cal,6,2020-10-08,2020-11-06,-0.001769829867573014,0.019735317735467106,
546,0.004738830084040857,0.02952007057319861,0.029660627245903015,0.03490025903010974,0.5586080586080586,0.016689675576358958,JP,seed71_train_cal,7,2020-11-09,2020-12-08,0.004192753955764794,0.023986639487702632,
545,0.0002234182861566847,0.023603526131046243,0.023608800768852235,0.027210890922287952,0.5266055045871559,0.01681062185680074,JP,seed71_train_cal,8,2020-12-09,2021-01-08,0.001191394919679012,0.020518124726368114,
546,-0.005970263613759741,0.025739868829120383,0.025587107054889202,0.029885728157751146,0.5036630036630036,0.016924363623956155,JP,seed71_train_cal,9,2021-01-12,2021-02-09,-0.005706638948182352,0.02307558510801755,
545,0.0013301887697548809,0.0299048917091568,0.0299447238445282,0.036124215551535596,0.5376146788990825,0.017623293939874586,JP,seed71_train_cal,10,2021-02-10,2021-03-12,-6.097508213498415e-05,0.025367284689855298,
546,0.0009586376927201989,0.025745451935563324,0.025770156178623438,0.03021623887889291,0.521978021978022,0.014762641545019443,JP,seed71_train_cal,11,2021-03-15,2021-04-12,0.002080589155388668,0.02040500134899048,
546,0.002872626487545271,0.02735313429730013,0.027431936003267765,0.031841836898820475,0.47435897435897434,0.013375591812936058,JP,seed71_train_cal,12,2021-04-13,2021-05-17,-0.002887623790293503,0.020778748958036886,
546,-0.004410682356876805,0.01946418200395783,0.01937870867550373,0.02328449556534906,0.532967032967033,0.013858559558197018,JP,seed71_train_cal,13,2021-05-18,2021-06-15,-0.0006883305344902446,0.017686533215965028,
