code,stock_days,latest_date,hard_issue_rows,imputed_rows,event_rows,coverage_pct,days_since_latest,quality_score
CTR,1551,2026-04-01,1,0,14,0.9916879795396419,9,61.50127877237851
DSE,437,2026-04-01,0,0,0,0.27941176470588236,9,56.76470588235294
BCM,1550,2026-04-01,2,0,12,0.9910485933503836,9,55.46291560102301
NAB,1359,2026-04-01,0,0,19,0.868925831202046,9,54.135549872122766
VPL,230,2026-04-10,0,0,0,0.14705882352941177,0,48.82352941176471
EVF,1549,2026-04-01,2,0,16,0.9904092071611253,9,47.424552429667514
VTP,1549,2026-04-01,3,0,14,0.9904092071611253,9,41.424552429667514
VIX,1550,2026-04-01,0,0,33,0.9910485933503836,9,33.46291560102301
SHB,1554,2026-04-01,0,0,40,0.9936061381074168,9,19.61636828644501
SIP,1552,2026-04-01,3,0,34,0.9923273657289002,9,1.5396419437340114
HHV,1548,2026-04-01,6,0,70,0.989769820971867,9,0.0
GEE,980,2026-04-01,0,0,43,0.6265984654731458,9,0.0
