n,rel_score,absE_robust,base_robust,absE_median,absE_q90,DA,pred_actual_q90_ratio,model,Date
89,0.0,0.03483275417238474,0.03483275417238474,0.013513482175767422,0.04263854399323464,0.0898876404494382,0.0,zero,2020-05-25
90,0.0,0.042220267467200756,0.042220267467200756,0.019775433465838432,0.04488966800272465,0.05555555555555555,0.0,zero,2020-05-26
92,0.0,0.018722455902025106,0.018722455902025106,0.0068004371132701635,0.02384403757750989,0.17391304347826086,0.0,zero,2020-05-27
92,0.0,0.024213221110403544,0.024213221110403544,0.008562695700675249,0.03130105081945659,0.17391304347826086,0.0,zero,2020-05-28
92,0.0,0.035446595214307305,0.035446595214307305,0.013262147083878517,0.044368896260857583,0.07608695652173914,0.0,zero,2020-05-29
91,0.0,0.03166598919779062,0.03166598919779062,0.01288664061576128,0.037558697164058685,0.06593406593406594,0.0,zero,2020-06-01
90,0.0,0.03290081676095724,0.03290081676095724,0.010549638420343399,0.04470235668122769,0.1,0.0,zero,2020-06-02
90,0.0,0.03384278556331992,0.03384278556331992,0.010065621230751276,0.04755432866513729,0.06666666666666667,0.0,zero,2020-06-03
91,0.0,0.03603946138173342,0.03603946138173342,0.010416685603559017,0.0512455515563488,0.15384615384615385,0.0,zero,2020-06-04
92,0.0,0.039210809674113986,0.039210809674113986,0.014218030031770468,0.049985559284687044,0.043478260869565216,0.0,zero,2020-06-05
90,0.0,0.02671377388760448,0.02671377388760448,0.012279003392904997,0.02886954098939896,0.06666666666666667,0.0,zero,2020-06-08
90,0.0,0.022636256553232675,0.022636256553232675,0.00737775769084692,0.030516997724771514,0.1,0.0,zero,2020-06-09
91,0.0,0.08804815262556076,0.08804815262556076,0.053278688341379166,0.06953892856836319,0.02197802197802198,0.0,zero,2020-06-10
