Date,market_return_actual,market_return_today,market_q10_today,market_q90_today,market_negative_ratio_today,market_abs_q90_today,market_breadth_today,n_stocks,market_return_today_lag1,market_return_today_lag2,market_q10_today_lag1,market_q10_today_lag2,market_q90_today_lag1,market_q90_today_lag2,market_negative_ratio_today_lag1,market_negative_ratio_today_lag2,market_abs_q90_today_lag1,market_abs_q90_today_lag2,market_breadth_today_lag1,market_breadth_today_lag2,market_return_lag1_5,market_return_lag1_20,market_volatility_lag1_20,market_negative_ratio_ewm5_lag1,market_abs_q90_ewm5_lag1
2017-06-08,0.00043367565032514775,0.0008894583365143917,-0.01572739187418082,0.021126765467138986,0.5070422535211268,0.03478254437910344,0.38028169014084506,71,0.004773413514220045,0.010011160422767805,-0.01259798432250836,-0.011967598626907204,0.025048169556840083,0.03706331437162424,0.323943661971831,0.2638888888888889,0.026119380065252384,0.037249683832515944,0.5774647887323944,0.6388888888888888,0.0051247860503855795,0.0035666400244343,0.005873914738250804,0.3460030778746924,0.03141004438460801
2017-06-09,-0.0018205310389315915,0.0003816026068154622,-0.013088922610876241,0.013192618925715216,0.4507042253521127,0.021978134387881987,0.4225352112676056,71,0.0008894583365143917,0.004773413514220045,-0.01572739187418082,-0.01259798432250836,0.021126765467138986,0.025048169556840083,0.5070422535211268,0.323943661971831,0.03478254437910344,0.026119380065252384,0.38028169014084506,0.5774647887323944,0.00443696849665425,0.003331518660480387,0.005882689385246016,0.39968280309017057,0.03253421104943982
2017-06-12,0.009005386185397233,-0.0018205310389315997,-0.016419077404221993,0.015183205137948574,0.5352112676056338,0.026845646950179658,0.29577464788732394,71,0.0003816026068154622,0.0008894583365143917,-0.013088922610876241,-0.01572739187418082,0.013192618925715216,0.021126765467138986,0.4507042253521127,0.5070422535211268,0.021978134387881987,0.03478254437910344,0.4225352112676056,0.38028169014084506,0.0037373013520837946,0.0030761007318526254,0.005894926533685615,0.4166899438441513,0.029015518828920544
2017-06-13,0.003952493207834225,0.009455024151582224,-0.007965868377729413,0.032206794030745424,0.25,0.032206794030745424,0.5833333333333334,72,-0.0018205310389315997,0.0003816026068154622,-0.016419077404221993,-0.013088922610876241,0.015183205137948574,0.013192618925715216,0.5352112676056338,0.4507042253521127,0.026845646950179658,0.021978134387881987,0.29577464788732394,0.4225352112676056,0.0028470207682772214,0.002625325382385884,0.005908071727606801,0.4561970517646455,0.028292228202673582
2017-06-14,0.00022264123122447507,0.003952493207834234,-0.015963755996272876,0.026152628545042144,0.3472222222222222,0.03438291322620849,0.4861111111111111,72,0.009455024151582224,-0.0018205310389315997,-0.007965868377729413,-0.016419077404221993,0.032206794030745424,0.015183205137948574,0.25,0.5352112676056338,0.032206794030745424,0.026845646950179658,0.5833333333333334,0.29577464788732394,0.002735793514040105,0.0032939062847526963,0.005885347497715521,0.38746470117643034,0.029597083478697533
2017-06-15,0.003016707167989778,0.00022577702321355684,-0.012285053445812766,0.0192771127561826,0.43661971830985913,0.019572904743361264,0.39436619718309857,71,0.003952493207834234,0.009455024151582224,-0.015963755996272876,-0.007965868377729413,0.026152628545042144,0.032206794030745424,0.3472222222222222,0.25,0.03438291322620849,0.032206794030745424,0.4861111111111111,0.5833333333333334,0.002571609452762943,0.0032729009057182123,0.005882043677213418,0.37405054152502765,0.03119236006120119
2017-06-16,0.008942628174021831,0.0030167071679897844,-0.0131419328750505,0.025787977706292375,0.352112676056338,0.030463576158940353,0.49295774647887325,71,0.00022577702321355684,0.003952493207834234,-0.012285053445812766,-0.015963755996272876,0.0192771127561826,0.026152628545042144,0.43661971830985913,0.3472222222222222,0.019572904743361264,0.03438291322620849,0.39436619718309857,0.4861111111111111,0.002438873190102776,0.0034955614421091352,0.0056634037979380455,0.39490693378663816,0.02731920828858788
2017-06-19,0.007112735205435245,0.008942628174021848,-0.012110724728175759,0.03174604067304032,0.28169014084507044,0.03174604067304032,0.5915492957746479,71,0.0030167071679897844,0.00022577702321355684,-0.0131419328750505,-0.012285053445812766,0.025787977706292375,0.0192771127561826,0.352112676056338,0.43661971830985913,0.030463576158940353,0.019572904743361264,0.49295774647887325,0.39436619718309857,0.0029658941023376407,0.0031787514664557643,0.005493163914049168,0.3806421812098715,0.028367330912038708
2017-06-20,-0.0014291208642909082,0.007013947216470877,-0.013867508043109622,0.031019662307087855,0.3194444444444444,0.031019662307087855,0.5277777777777778,72,0.008942628174021848,0.0030167071679897844,-0.012110724728175759,-0.0131419328750505,0.03174604067304032,0.025787977706292375,0.28169014084507044,0.352112676056338,0.03174604067304032,0.030463576158940353,0.5915492957746479,0.49295774647887325,0.0051185259449283305,0.0031288703480987557,0.00543273115568484,0.3476581677549378,0.029493567499039246
2017-06-21,0.006259267361291257,-0.0014291208642909117,-0.021893828692749494,0.02276918706707551,0.5,0.027006511420807542,0.4027777777777778,72,0.007013947216470877,0.008942628174021848,-0.013867508043109622,-0.012110724728175759,0.031019662307087855,0.03174604067304032,0.3194444444444444,0.28169014084507044,0.031019662307087855,0.03174604067304032,0.5277777777777778,0.5915492957746479,0.004630310557906061,0.0035335591474157297,0.005404101765329712,0.33825359331810667,0.030002265768388783
