seed,candidate,split,n_obs,n_days,rel_score,q90_abs_error,daily_q90_abs_error_q90,daily_q90_abs_error_max,spike_days_ge_7pct,spike_days_ge_8pct,prediction_actual_abs_q90_ratio,directional_accuracy
71,base,train,129720,1970,0.0158792846969177,0.03647107757,0.0485779568563,0.0866587644,18,1,0.1331854711657028,0.467823003391921
71,weighted,train,129720,1970,0.0006977089881211,0.036849995024,0.048941352986,0.077184068,18,0,0.0863048775318283,0.4289700894233734
71,instance,train,129720,1970,0.0245614563334566,0.03625549308,0.049625869984,0.0822329317,15,1,0.1440319199977751,0.474568300955905
71,tail_loss,train,129720,1970,0.0219982053631914,0.036088961923,0.0481789282718,0.0801367373,14,1,0.1675342542870003,0.4760946654332408
71,tailstress,train,129720,1970,0.0264332977239957,0.035867421183,0.048126632138,0.0794449076,9,0,0.149476945333271,0.4791165587419056
71,tailstress_past,train,129720,1970,0.0089935702856799,0.03668851461,0.048617774894,0.0744230013,14,0,0.0990041858175763,0.459936786925686
71,simplex_rel,train,129720,1970,0.0302967583260036,0.035939661761,0.0488986743151,0.078594008729,9,0,0.126914789492769,0.4850986740672217
71,simplex_tail,train,129720,1970,0.0224101324322921,0.0362079756855,0.04787726038206,0.0784820041076,12,0,0.1177820908405844,0.4807123034227567
71,gate_disagreement,train,129720,1970,0.0257589955460499,0.03590886215,0.047954028423,0.0789642014,10,0,0.1702408585259539,0.4790163428923836
71,conservative_disagreement,train,129720,1970,0.0221780610689301,0.036069331065,0.048364511129,0.0801367373,14,1,0.1605661408047148,0.4764030218933087
71,gate_tailstress_abs,train,129720,1970,0.0255008167185221,0.0359231896,0.04797044928,0.0794449076,10,0,0.1711105660101245,0.4785229725562751
71,conservative_tailstress_abs,train,129720,1970,0.0241799307788216,0.03598336944,0.0483833672052,0.0801367373,12,1,0.1461166707211739,0.4774051803885291
71,gate_mean_positive_gap,train,129720,1970,0.0246672182452895,0.035974024046,0.047998979213,0.0801367373,13,1,0.1594341286557729,0.4777597903176072
71,conservative_mean_positive_gap,train,129720,1970,0.0255483342720392,0.03592124172,0.048222210986,0.0794449076,11,0,0.1522704430195019,0.4788082022818378
71,base,val,60468,659,0.0174421614247051,0.04926890316,0.0660576260259999,0.0953365559999999,44,16,0.123244939985771,0.4935668452735331
71,weighted,val,60468,659,0.0039057739088914,0.0497360206,0.0652315486,0.079917407,45,0,0.0908124602008675,0.484189984785341
71,instance,val,60468,659,0.0088947564536869,0.04989847481,0.065540011854,0.0861486616,35,3,0.1332315643969179,0.4916319375537474
71,tail_loss,val,60468,659,0.0148175420382349,0.04912285745,0.064769370824,0.09083735,32,4,0.1495602617935789,0.4963947873255275
71,tailstress,val,60468,659,0.0189582159866253,0.0488462578,0.063199648824,0.0846597484,19,3,0.1337186235518878,0.4907885162399947
71,tailstress_past,val,60468,659,0.007477905109087,0.049766959,0.06646394632,0.0795344071999999,37,0,0.0850369305901935,0.4916815505722035
71,simplex_rel,val,60468,659,0.0121855813696746,0.049668709706,0.0642749292064,0.08396729429,25,1,0.1087325588919934,0.5009261096778461
71,simplex_tail,val,60468,659,0.014166741465689,0.0494713882345,0.065549025254432,0.085838565348,36,3,0.0995136693390385,0.5028610173976318
71,gate_disagreement,val,60468,659,0.0175157904871777,0.0487894891,0.0629323336064,0.0846597484,20,3,0.1483050757365058,0.495022160481577
71,conservative_disagreement,val,60468,659,0.0158411635900274,0.04911166944,0.064610339928,0.09083735,32,4,0.1480050115115135,0.4968082291459946
71,gate_tailstress_abs,val,60468,659,0.0181172799610073,0.048758169,0.062820860692,0.0867206101999999,21,4,0.1553038890773907,0.4957828934312364
71,conservative_tailstress_abs,val,60468,659,0.0137245882634705,0.04928415644,0.064769370824,0.09083735,24,3,0.1274727959626928,0.4906231395118079
71,gate_mean_positive_gap,val,60468,659,0.0152528920483278,0.04909852255,0.064878217416,0.09083735,32,4,0.1457844422627589,0.4980650922802143
71,conservative_mean_positive_gap,val,60468,659,0.0190892980477548,0.04882891791,0.063199648824,0.0846597484,19,3,0.1344660656525387,0.4906562148574452
