seed,candidate,reference,delta_rel_score,delta_q90_abs_error,delta_daily_q90_abs_error_q90,delta_daily_q90_abs_error_max,delta_spike_days_ge_7pct,delta_spike_days_ge_8pct
52,tail_loss,base,0.012123047012386999,-0.0014540016980000015,-0.002717810267200013,0.0089209279,-13,0
52,tail_loss,tail_loss,0.0,0.0,0.0,0.0,0,0
52,tailstress,base,0.0192387834343955,-0.0015088357700000013,-0.003115626604000013,0.030291176000000017,-5,7
52,tailstress,tail_loss,0.007115736422008502,-5.4834071999999845e-05,-0.00039781633679999984,0.021370248100000017,8,7
52,tailstress_past,base,0.007321749903614599,-0.0008792880200000006,-0.0010957254520000126,0.018453834500000002,-14,-1
52,tailstress_past,tail_loss,-0.0048012971087724,0.0005747136780000009,0.0016220848152000006,0.009532906600000002,-1,-1
52,simplex_rel,base,0.0165884184851465,-0.0012738288819999985,-0.0029607066750000077,0.01528711965,-5,1
52,simplex_rel,tail_loss,0.004465371472759501,0.00018017281600000296,-0.00024289640779999455,0.00636619175,8,1
52,simplex_tail,base,0.0202988101973285,-0.0015235928420000017,-0.0028491031032000097,0.021465595650000002,-8,4
52,simplex_tail,tail_loss,0.008175763184941502,-6.959114400000022e-05,-0.00013129283599999653,0.012544667750000002,5,4
52,gate_disagreement,base,0.016322135133337898,-0.0016460111299999997,-0.0030447462160000105,0.030291176000000017,-4,7
52,gate_disagreement,tail_loss,0.004199088120950899,-0.0001920094319999982,-0.0003269359487999973,0.021370248100000017,9,7
52,conservative_disagreement,base,0.013970703413587499,-0.0013344493599999965,-0.0030493421960000044,0.0089209279,-14,0
52,conservative_disagreement,tail_loss,0.0018476564012004995,0.00011955233800000492,-0.00033153192879999127,0.0,-1,0
52,gate_tailstress_abs,base,0.0163580132456881,-0.001686120303999998,-0.003029340308000006,0.030291176000000017,-4,7
52,gate_tailstress_abs,tail_loss,0.0042349662333011,-0.00023211860599999662,-0.0003115300407999927,0.021370248100000017,9,7
52,conservative_tailstress_abs,base,0.0159276206864764,-0.0012975482599999963,-0.0030776089320000005,0.0089209279,-14,0
52,conservative_tailstress_abs,tail_loss,0.003804573674089401,0.00015645343800000516,-0.00035979866479998734,0.0,-1,0
52,gate_mean_positive_gap,base,0.012124288836016399,-0.00130437328,-0.0030164794800000005,0.030291176000000017,-2,5
52,gate_mean_positive_gap,tail_loss,1.2418236293998408e-06,0.00014962841800000154,-0.00029866921279998737,0.021370248100000017,11,5
52,conservative_mean_positive_gap,base,0.020505440644008596,-0.0016698216899999965,-0.0032672152120000048,0.0033331419999999973,-17,2
52,conservative_mean_positive_gap,tail_loss,0.008382393631621597,-0.00021581999199999508,-0.0005494049447999916,-0.005587785900000003,-4,2
71,base,base,0.0,0.0,0.0,0.0,0,0
71,base,tail_loss,0.0026246193864701995,0.00014604571000000066,0.001288255201999905,0.0044992059999999084,12,12
71,weighted,base,-0.013536387515813698,0.0004671174399999978,-0.0008260774259999104,-0.01541914899999991,1,-16
71,weighted,tail_loss,-0.0109117681293435,0.0006131631499999984,0.00046217777599999454,-0.010919943000000001,13,-4
71,instance,base,-0.008547404971018198,0.0006295716500000006,-0.0005176141719999,-0.00918789439999991,-9,-13
71,instance,tail_loss,-0.005922785584547998,0.0007756173600000013,0.0007706410300000049,-0.004688688400000002,3,-1
71,tail_loss,base,-0.0026246193864701995,-0.00014604571000000066,-0.001288255201999905,-0.0044992059999999084,-12,-12
71,tail_loss,tail_loss,0.0,0.0,0.0,0.0,0,0
71,tailstress,base,0.0015160545619202007,-0.0004226453600000013,-0.0028579772019999006,-0.010676807599999907,-25,-13
71,tailstress,tail_loss,0.0041406739483904,-0.00027659965000000064,-0.0015697219999999956,-0.006177601599999999,-13,-1
71,tailstress_past,base,-0.009964256315618099,0.0004980558399999974,0.00040632029400008984,-0.0158021488,-7,-16
71,tailstress_past,tail_loss,-0.007339636929147899,0.000644101549999998,0.0016945754959999948,-0.01130294280000009,5,-4
71,simplex_rel,base,-0.005256580055030498,0.00039980654599999776,-0.0017826968195999021,-0.011369261709999912,-19,-15
71,simplex_rel,tail_loss,-0.0026319606685602983,0.0005458522559999984,-0.0004944416175999972,-0.006870055710000003,-7,-3
71,simplex_tail,base,-0.003275419959016099,0.0002024850744999987,-0.0005086007715679047,-0.00949799065199991,-8,-13
71,simplex_tail,tail_loss,-0.0006508005725458996,0.00034853078449999936,0.0007796544304320002,-0.004998784652000002,4,-1
71,gate_disagreement,base,7.362906247260215e-05,-0.0004794140600000024,-0.0031252924195998982,-0.010676807599999907,-24,-13
71,gate_disagreement,tail_loss,0.0026982484489428016,-0.00033336835000000176,-0.0018370372175999933,-0.006177601599999999,-12,-1
71,conservative_disagreement,base,-0.0016009978346776983,-0.00015723372000000374,-0.0014472860979999058,-0.0044992059999999084,-12,-12
71,conservative_disagreement,tail_loss,0.0010236215517925012,-1.1188010000003079e-05,-0.00015903089600000087,0.0,0,0
71,gate_tailstress_abs,base,0.0006751185363022029,-0.0005107341600000051,-0.0032367653339998997,-0.00861594580000001,-23,-12
71,gate_tailstress_abs,tail_loss,0.0032997379227724024,-0.00036468845000000444,-0.0019485101319999948,-0.004116739800000102,-11,0
71,conservative_tailstress_abs,base,-0.0037175731612345986,1.5253279999995206e-05,-0.001288255201999905,-0.0044992059999999084,-20,-13
71,conservative_tailstress_abs,tail_loss,-0.0010929537747643991,0.00016129898999999587,0.0,0.0,-8,-1
71,gate_mean_positive_gap,base,-0.002189269376377298,-0.00017038060999999965,-0.0011794086099999046,-0.0044992059999999084,-12,-12
71,gate_mean_positive_gap,tail_loss,0.0004353500100929015,-2.4334899999998993e-05,0.00010884659200000035,0.0,0,0
71,conservative_mean_positive_gap,base,0.0016471366230497025,-0.0004399852500000037,-0.0028579772019999006,-0.010676807599999907,-25,-13
71,conservative_mean_positive_gap,tail_loss,0.004271756009519902,-0.00029393954000000305,-0.0015697219999999956,-0.006177601599999999,-13,-1
